Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,8,SRB,GM,mishanick,Aleksei Sarana,3038,W669B,W460W,W483B,W529W,W23B,W6W,W450B,D446B,W3W,W24B,D2W,10,69,69,60.75,0,9,5,2931
2,5,USA,GM,DanielNaroditsky,Daniel Naroditsky,3181,W557W,D227B,W143B,D70W,W92B,W46W,W13W,W6B,W42B,W20W,D1B,9.5,75.5,77.5,66.5,0,8,4,2806
3,48,UZB,GM,Jakhongir-Vakhidov,Jakhongir Vakhidov,3002,W470B,W231W,W106B,W486B,W4W,D43B,W212W,W19B,L1B,W16W,W10W,9.5,73.5,77.5,63.75,0,9,4,2897
4,13,RUS,GM,lachesisQ,Ian Nepomniachtchi,3160,W395W,W71B,W48W,W55B,L3B,W487W,L41B,W236W,W67B,W65W,W40B,9,70,72,55,0,9,4,2797
5,4,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W469B,W205W,D76B,W146W,W64W,D13B,D451W,W212B,W44W,D10B,W30W,9,69,74,59.25,0,7,2,2846
6,31,POL,IM,Szparu,Miłosz Szpar,2873,W462W,W217B,W556W,W516B,W465W,L1B,W236B,L2W,W32B,W70W,W24W,9,66,68,48.5,0,9,4,2820
7,16,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W199B,W286W,L491B,D508W,W114B,W107W,W132W,W17B,W41W,D28W,W20B,9,65,68.5,58.75,0,8,4,2740
8,18,IND,GM,vi_pranav,Pranav V,3103,L305B,W637W,W153B,L134W,W162B,W175W,W79B,W465W,W76B,W19W,W39B,9,63,64,54,0,9,5,2653
9,35,AZE,GM,Durarbayli,Vasif Durarbayli,2925,W691W,L63B,W639W,L458B,W148W,W164B,W493W,W259B,W85W,W91B,W28B,9,56,56,44,0,9,4,2662
10,15,MEX,GM,Jospem,Jose Martinez,3073,W233W,W69B,W95W,L64B,W68W,W135B,W55W,W449B,W39B,D5W,L3B,8.5,74.5,79.5,58.5,0,8,4,2805
11,14,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3106,W628B,W163W,D29B,W474W,D46B,W108W,W64W,W447B,L20W,D21B,W41W,8.5,70,71,51.25,0,7,2,2791
12,76,FRA,IM,scarabee43,Marco Materia,2909,W398B,W194W,W80B,W109B,L450W,L36B,D83B,W63W,W48W,W117B,W43W,8.5,68.5,70.5,53,0,8,4,2765
13,55,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2912,W206W,W304B,W503W,D493B,W113W,D5W,L2B,W144W,W68B,W25W,D18B,8.5,68,72,51.75,0,7,2,2816
14,32,RUS,GM,dropstoneDP,David Paravyan,2992,W434B,L73W,W148B,W533W,D106W,W474B,W49W,W57B,L16B,W61W,W59B,8.5,65.5,65.5,46.75,0,8,5,2741
15,28,HUN,GM,Sanan_Sjugirov,Sanan Sjugirov,2931,W310B,W134W,D474B,L476W,W139B,W58B,W35W,L52B,W454W,W110W,W53B,8.5,63.5,67.5,53.25,0,8,4,2741
16,6,VNM,GM,wonderfultime,Tuan Minh Le,3088,W161B,L159W,W395B,D543W,W519B,W147W,W134W,W136B,W14W,L3B,W45W,8.5,61,63,46.25,0,8,4,2721
17,87,IND,IM,Legendinunknown,Harshavardhan GB,2814,W650W,W632B,D200W,W197B,W506W,L446W,W27B,L7W,W107B,W44B,W47W,8.5,61,62,43.25,0,8,5,2802
18,7,IND,GM,viditchess,Vidit Gujrathi,3013,L473W,W513B,W628W,W579B,W492W,W67W,W21B,L42W,W52B,W47B,D13W,8.5,60,61,44.75,0,8,5,2774
19,70,IND,IM,Aradhya2000,Aradhya Garg,2787,W629B,W101W,D63B,W200W,W77B,W25W,W44B,L3W,D43W,L8B,W73W,8,75,76,50.25,0,7,3,2814
20,175,SRB,GM,Hasangatin_Ramil,Рамиль Хасангатин,2704,W424W,W329B,W45B,D447W,W507B,D21B,W22W,W26W,W11B,L2B,L7W,8,73,73,47,0,7,4,2902
