Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
120,311,CAN,IM,chedimir,Cedomir Micic,2499,L136W,W251B,L328W,W197W,L349B,W202W,L330B,W237B,W127W,L94B,W166W,6,44.5,46.5,23.5,0,6,2,2551
121,415,AZE,GM,azikom,Azer Mirzoev,2716,U--,U--,U--,U--,L192W,W248B,W246B,W230W,W196B,W154W,W161B,6,24,26,21.5,0,6,4,2338
122,276,ESP,FM,venturov,Maxim Ventura,2481,L50B,W208W,L75B,W167W,W343W,L36B,L82W,W157B,W104B,D86W,L76W,5.5,60.5,64.5,27.25,0,5,2,2595
123,297,MDA,IM,Slovineanu,Veaceslav Slovineanu,2543,L337W,W211B,L76W,W221B,W107B,W306W,L55B,W104W,L106B,D130W,L84B,5.5,57,60.5,27.75,0,5,3,2625
124,162,TUR,IM,nabukatnezarr,Melih YURTSEVEN,2603,W220B,L15B,L128W,L173B,W167B,W201W,W161W,D137B,L43W,W143B,L86W,5.5,56.5,60,25.25,0,5,3,2532
125,256,IRL,CM,ACollins05,Adam Collins,2583,W339B,L66W,L333B,W170W,W186B,L38W,W369W,D306B,L87W,W136B,L82B,5.5,56,59,24.75,0,5,3,2709
126,249,USA,NM,subham777,Asish Panda,2602,L294W,D220B,W196W,W267W,L20B,L307B,W171W,W136B,L81W,W326B,L91B,5.5,55,56.5,22.25,0,5,2,2653
127,207,AZE,WFM,malakismayil,,2592,W236W,W334B,L14B,L48W,W406W,L313B,L141B,W149W,L120B,W201W,D131W,5.5,52.5,54.5,20.75,0,5,1,2600
128,305,PER,CM,Brahianzevich,Brahian Diaz Herquinio,2460,L48W,W513B,W124B,W158W,L51W,L214B,L107B,D186W,W355B,L134B,W191W,5.5,52.5,52.5,20.75,0,5,3,2627
129,242,ROU,IM,Balla_Tamas,Tamas-Kristof Balla,2651,L8B,W512W,L298B,W171W,U--,W417B,W205W,W95B,D60W,L41B,L87B,5.5,52.5,52.5,20.5,0,5,2,2652
130,5,IND,FM,SahibSinghKnight,Sahib Singh,2715,U--,W325B,W199W,W145W,W240B,L17W,L293B,W113W,L102W,D123B,L88W,5.5,52,55,25.25,0,5,2,2621
131,325,BRA,NM,Zampronha1971,Wladimir Zampronha,2446,D475W,L81W,L373B,W208W,W262B,W89B,D98W,L58B,W103W,L99W,D127B,5.5,52,52.5,24,0,4,2,2610
132,286,MEX,IM,dosto07,Julian Estrada,2460,L293B,W202W,L144W,W421B,W411W,L56W,L318B,W169W,L67B,D174W,W192W,5.5,51,53,20,0,5,1,2535
133,218,UKR,CM,dolynachess,Mykhaylo Kepeshchuk,2504,L467W,W170B,W226W,L49W,L137B,D325W,W173B,L78B,L138W,W202B,W180B,5.5,51,52,24.25,0,5,4,2453
134,216,UKR,IM,ural58,Alexander Reprintsev,2512,W235W,L314W,D262B,W266B,L30W,W187B,L23B,W354W,L307B,W128W,L81B,5.5,50.5,52,18.75,0,5,2,2546
135,339,AZE,FM,Valiyev_Shahin,Shahin Valiyev,2616,L369B,D90B,W430W,W98B,W386W,L47B,W307W,W321W,L30B,L60B,U--,5.5,49.5,51,23.25,0,5,1,2727
136,84,USA,IM,Fins0905,John Bartholomew,2824,W120B,D404W,L101B,W407B,W387W,L320B,L77B,L126W,W185B,L125W,W167B,5.5,48,50,21,0,5,4,2578
137,341,GBR,FM,FlemingA,Dion Krivenko,2537,L439B,W166W,W448W,L357B,W133W,D349W,D76B,D124W,L306W,W189B,L89B,5.5,46.5,47.5,23.75,0,4,1,2632
138,326,DEU,FM,kleber2007,Bernhard Stillger,2501,L51B,L339W,W520B,L334B,W462W,L41W,W230B,D191W,W133B,L177W,W189W,5.5,46,46,16.25,0,5,3,2611
