Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,10,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3057,W108B,W334W,W59B,W47W,W72B,D45W,W7W,W17B,W4W,W6W,L2B,9.5,78.5,83.5,70.5,0,9,4,2950
2,16,NOR,GM,AryanTari,Aryan Tari,2977,W89B,W100W,W403B,L20B,W335W,W302W,W47B,W304W,D36B,W38W,W1W,9.5,71,73,61.25,0,9,3,2860
3,44,RUS,CM,stollenmonster,Egor Baskakov,2921,L385B,W294W,W101B,D46W,W105W,W76B,W332W,W19W,W15B,W9W,W14W,9.5,67,67,60.5,0,9,3,2765
4,18,IRN,FM,artin10862,Artin Ashraf,2961,W492B,W330W,W371B,W254W,W50B,W322W,W9W,W16B,L1B,D10W,W12B,9.5,66,66,52.25,0,9,5,2920
5,5,FRA,GM,Firouzja2003,Alireza Firouzja,3188,W168W,W35B,W107W,L45B,W60W,W20B,W323W,L6B,W308W,W303B,W18W,9,70.5,75.5,59.5,0,9,3,2871
6,12,MEX,GM,Jospem,Jose Martinez,3073,W344B,D123W,W75B,W349W,W357B,W12W,W311B,W5W,D16W,L1B,W39W,9,68.5,72,55.75,0,8,4,2964
7,1,USA,GM,Hikaru,Hikaru Nakamura,3276,W421W,D76B,W274W,W52B,W34W,D312W,L1B,W49W,W47B,W301W,W10B,9,67.5,69,53.5,0,8,3,2878
8,6,RUS,GM,Duhless,Daniil Dubov,3122,W164B,W381W,W305B,W323W,L45B,L308W,W125B,W336W,W20B,W304W,W22W,9,63,66,53,0,9,4,2818
9,4,UZB,GM,ChessWarrior7197,Nodirbek Abdusattorov,3069,W210B,W346W,W21B,W30W,W31B,D17W,L4B,W23W,W50W,L3B,W36W,8.5,76.5,80.5,57.5,0,8,3,2878
10,26,USA,GM,DominguezOnYoutube,Leinier Dominguez Perez,2968,W188B,W103W,W331B,L97W,W51B,W54W,W308B,W22W,W301B,D4B,L7W,8.5,70.5,75,55.25,0,8,5,2859
11,19,USA,GM,SpeedofLight0,Andrew Hong,3111,W513W,W98B,L71W,W126B,L24W,W220B,W79W,W29B,D23W,W42B,W43B,8.5,67.5,67.5,49,0,8,6,2708
12,24,HUN,GM,Sanan_Sjugirov,Sanan Sjugirov,2931,W84B,W423W,D372B,W309W,W123W,L6B,W340W,W30B,W33B,W16W,L4W,8.5,67,69,49,0,8,3,2854
13,15,VNM,GM,LiemLe,Liem Le,3043,W140W,W278B,W388W,W308B,W20W,L22B,W45W,L36B,W52W,D32B,W38W,8.5,66.5,67.5,48.25,0,8,2,2843
14,22,TUV,GM,ChristopherYoo,Christopher Woojin Yoo,3026,W267B,D124W,W239B,W37W,W49B,L311W,W316B,W72B,W17W,W36W,L3B,8.5,66,68,50.25,0,8,5,2839
15,8,USA,GM,DanielNaroditsky,Daniel Naroditsky,3181,W153B,W461W,D40B,W261W,W314W,W339B,L17B,W53W,L3W,W33B,W32W,8.5,65,66,44.75,0,8,3,2857
16,3,USA,GM,FabianoCaruana,Fabiano Caruana,3101,W424W,W85B,W25W,W48B,W36W,W18B,W22W,L4W,D6B,L12B,D19W,8,80,82,55.5,0,7,3,2927
17,28,RUS,GM,dropstoneDP,David Paravyan,2992,W101B,W353W,W51B,W54W,W55B,D9B,W15W,L1W,L14B,D302B,W40W,8,76.5,80.5,54.75,0,7,3,2888
18,25,AZE,GM,vugarrasulov,Vugar Rasulov,2933,W41W,W126B,W58W,W27B,W97W,L16W,D53B,D32W,W111W,W48B,L5B,8,73,78.5,54.25,0,7,3,2869
19,27,ESP,GM,Fandorine,Maksim Chigaev,2933,W114W,L345B,W267W,W103B,W99W,W25B,D50W,L3B,W98W,W54B,D16B,8,68,70,48.5,0,7,3,2768
20,61,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2912,W269W,W208B,W410B,W2W,L13B,L5W,W124W,W322B,L8W,W309B,W57W,8,65.5,67.5,41,0,8,4,2809
21,89,ARG,GM,Rodalquilar,Leonardo Tristan,2776,W152B,W143W,L9W,L67B,W396B,W65W,L98B,W134W,W106B,W310W,W45W,8,64,66.5,45,0,8,3,2662
22,75,UKR,GM,onyshchuk_v,Volodymyr Onyshchuk,2881,W493W,W377B,W402W,W370W,W328B,W13W,L16B,L10B,W306W,W56W,L8B,8,60,60,34.5,0,8,2,2927
23,105,DEU,FM,MarcoRiehle,Marco Riehle,2802,W120W,W406B,L253B,W405W,W189W,W303B,W325W,L9B,D11B,D26W,W47B,8,59.5,61.5,41.75,0,7,3,2816
