Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,116,POL,GM,kpio91,Kacper Piorun,2844,W171B,W723W,W113W,W10B,L27W,W569W,W42B,W7B,W16W,W6B,W17W,10,77,78,70,0,10,5,2923
2,39,TUV,GM,ChristopherYoo,Christopher Woojin Yoo,3026,W226B,W393W,W83B,L536W,W576B,W541W,W43B,W77W,W26W,W18B,W5W,10,69.5,73.5,67.5,0,10,5,2868
3,2,USA,GM,Hikaru,Hikaru Nakamura,3276,W183W,W136B,W657W,W51B,W58W,D30B,W31W,D14B,W28W,D5B,W10W,9.5,78,80,67.25,0,8,2,2955
4,51,ESP,GM,h4parah5,Jaime Santos Latasa,2934,W198B,D170W,W597B,W564W,D52B,W40W,W538B,D16W,W51W,W41B,W25B,9.5,70,74,63,0,8,5,2850
5,4,FRA,GM,LyonBeast,Maxime Vachier-Lagrave,3125,W85W,W194B,W678W,W39B,W570W,D31B,W30W,W17B,W14W,D3W,L2B,9,77.5,79.5,60.75,0,8,3,2948
6,16,USA,GM,FabianoCaruana,Fabiano Caruana,3101,W797W,D78B,W151B,W176W,W236W,D32B,W8W,W11B,W530B,L1W,W37B,9,76,76,58.5,0,8,4,2842
7,50,RUS,GM,BillieKimbah,Maxim Matlakov,2938,W251W,W241B,W142W,W541B,W43W,D28B,D25B,L1W,W123B,W44W,W38B,9,75,80.5,62.5,0,8,4,2860
8,83,IDN,IM,yosephtaher,Yoseph Theolifus Taher,2932,W296W,W725B,W119W,W595B,L15B,W114W,L6B,W136W,W88B,W27W,W30B,9,70,71,53.5,0,9,4,2783
9,101,NLD,GM,xamax2000,Max Warmerdam,2951,W228W,W345B,W97W,L25B,W174W,W131B,L531W,W222B,W95B,W42W,W31B,9,69.5,74,59,0,9,5,2799
