Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
362,252,CHN,IM,JiaHaoxiang,Jia Haoxiang,2655,D267B,W177W,L426B,W553W,L59W,U--,U--,U--,U--,U--,U--,2.5,22.5,24,9.75,0,2,0,2564
363,188,RUS,CM,EgorYakovlev,Егор Яковлев,2533,L552B,D608W,W609B,L467W,U--,W340B,L222W,U--,U--,U--,U--,2.5,13.5,14,3.75,0,2,2,2415
364,577,POL,WCM,tarno17,Aleksandra Tarnowska,2232,L234B,L120B,W273W,L299W,L306B,L251B,L349W,L331W,W338B,L316W,L345B,2,42.5,45.5,7.5,0,2,1,2382
365,543,USA,WCM,PonyQueen07,Jwalanthi Ram,2102,L407W,W500B,L197B,L190W,L295W,L257B,L348B,W381W,L493B,L351W,L329B,2,41,42.5,4,0,2,1,2369
366,587,BRA,NM,Nagobe,Natácio Gonçalves Bezerra,2073,L448B,L126B,L254W,W327W,W382B,L219W,L291W,L492B,L339W,L343B,L361W,2,39.5,40.5,4.5,0,2,1,2367
367,582,NLD,CM,shirovin,Marcel Winkels,2161,L487W,L209W,L306B,L387W,W327B,L541B,W345W,L312B,L301B,L300W,L347B,2,36,37,6.5,0,2,1,2329
368,581,ETH,CM,abelmat,Abel Mathewos Tilahun,2127,L555B,D531W,L464B,L325B,D251W,L310W,L242B,L336B,W384W,L290B,L338B,2,34.5,35.5,4.5,0,1,0,2397
369,576,UKR,IM,yuriydovzik,Yuriy Dovzik,2143,L181W,L536B,L312B,L263W,L600B,L327W,L331B,L603W,W357B,L338W,BYE,2,29.5,30.5,2.5,0,1,1,2351
370,600,DEU,WCM,Lily_Schirmbeck,Lilian Schirmbeck,1831,L563W,BYE,L485B,L359W,L284B,L270W,L300B,L345B,W602W,L342W,L346B,2,28,29,1,0,1,0,2317
371,223,IRN,FM,ahkashefi2800,Amir hosein Kashefi,2625,L169W,L588B,W179W,W341B,L120W,U--,U--,U--,U--,U--,U--,2,21.5,22.5,9,0,2,1,2415
372,240,POL,IM,Airquake,Mirosław Lewicki,2880,W245B,W86W,L438B,L32B,U--,U--,U--,U--,U--,U--,U--,2,20,24,12,0,2,1,2881
373,197,UKR,CM,SashaKuzhilniy,Oleksandr Kuzhilniy,2621,W389W,L5B,W237W,L167W,U--,U--,U--,U--,U--,U--,U--,2,20,20,5,0,2,0,2654
374,48,DNK,GM,lilleper1,Jonas Bjerre,2892,W116W,L99B,W598W,L170B,U--,U--,U--,U--,U--,U--,U--,2,19,20,7.5,0,2,0,2631
375,226,RUS,CM,TitarovVasiliYouTube,Vasilii Titarov,2575,L571B,W535W,W265B,L56B,U--,U--,L246W,U--,U--,U--,U--,2,19,20,6.5,0,2,1,2518
376,1,IND,CM,HighLawView,Halsagar Chincholimath,1994,U--,L229W,W389B,L168W,W383B,L443W,L350B,U--,U--,U--,U--,2,19,19,1,0,2,2,2427
377,31,RUS,GM,Vladimir_Zakhartsov,Vladimir Zakhartsov,2908,W654B,W200W,L109B,L129W,U--,U--,U--,U--,U--,U--,U--,2,18,18,5.5,0,2,1,2671
378,97,UKR,GM,Cayse,Martyn Kravtsiv,2795,W299B,W344W,L74B,L101W,U--,U--,U--,U--,U--,U--,U--,2,17.5,20.5,7,0,2,1,2613
