Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
687,252,DNK,FM,myburger,Vitus Bondo Medhus,2612,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
688,299,NOR,IM,jens1102,Jens E Ingebretsen,2664,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
689,276,IND,GM,gmpeter008,Prithu Gupta,2519,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
690,336,CAN,NM,Schwarzschidl,Szalay Karoly,2543,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
691,397,GRC,CM,komogro,Antonin Ferey,2535,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
692,602,USA,NM,frequentblunders,James Allen,2226,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
693,328,UZB,FM,Muslim_player_05,Bakhrom Bakhrillaev,2579,L28B,L341W,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,8,12,0,0,0,0,3132
694,509,USA,NM,s-dshubin,Daniel Shubin,2399,L307B,L156W,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,6,10.5,0,0,0,0,2652
695,412,GBR,IM,Squirlolz,Peter Roberson,2512,L154B,L637W,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,6,7,0,0,0,0,2856
696,579,MMR,FM,bolwin,San Thit Lwin,2144,L177B,L629B,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,6,7,0,0,0,0,2628
697,504,DEU,FM,Louis-Paulsen-Fan,Arnold Essing,2342,L214W,L598B,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,5.5,7,0,0,0,0,2706
698,519,BRA,NM,ALRS-SPS,Lindolfo Luiz Da Silva,2538,L404B,L323W,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,4.5,7.5,0,0,0,0,2676
699,1,ZAF,WFM,powermove,Dantelle Joubert,2102,U--,L235B,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,5.5,0,0,0,0,0
700,3,MMR,FM,kyawlayhtaik8,Ko Htaik,2393,U--,L278W,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,5,0,0,0,0,0
701,29,USA,IM,LikeWater,Alexander Velikanov,2772,U--,L511B,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,4,0,0,0,0,0
702,329,BLR,IM,Tsyhanchuk_Stanislav,Stanislav Tsyhanchuk,2362,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
703,575,UZB,NM,RomanianChessFighter2011,Marco Lantini,2309,L33B,L175B,L588W,U--,U--,U--,U--,U--,U--,U--,U--,0,14,16,0,0,0,0,2624
704,537,SPM,NM,crosky,Brett Passen,2410,L179B,L184B,L201W,U--,U--,U--,U--,U--,U--,U--,U--,0,12,18,0,0,0,0,2604
705,585,INT,WFM,Karina_Ivanova,Karina Ivanova,2258,L287B,L234B,L286W,U--,U--,U--,U--,U--,U--,U--,U--,0,10.5,15.5,0,0,0,0,2555
706,631,MEX,NM,pablovik,pablo antonio,2127,L497B,L302W,L274B,U--,U--,U--,U--,U--,U--,U--,U--,0,9.5,13.5,0,0,0,0,2529
707,345,ISR,NM,Itay121,Itay Sitbon,2544,L474B,L585W,L643B,U--,U--,U--,U--,U--,U--,U--,U--,0,7,8,0,0,0,0,2664
708,631,IND,GM,DelhiGM,Sriram Jha,2575,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
709,596,IND,WFM,lucena125,Pragnya H G,2329,L212W,L509W,L279B,L291B,U--,U--,U--,U--,U--,U--,U--,0,15.5,19.5,0,0,0,0,2519
710,634,DOM,WFM,PattyCastillo,Patty Castillo,1847,U--,L621B,L294W,L348B,U--,U--,U--,U--,U--,U--,U--,0,9,10,0,0,0,0,2434
711,1,USA,NM,ElCoachRene,Rene' Phillips,1860,U--,L577B,L415B,L390W,U--,U--,U--,U--,U--,U--,U--,0,6,8,0,0,0,0,2409
712,640,ARG,FM,Viktoker,Luca Silva,2497,U--,U--,L645W,L409B,U--,U--,U--,U--,U--,U--,U--,0,3,4,0,0,0,0,2349
713,587,ARE,FM,Alkhoori90,Ahmed Alkhoori,2405,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
714,630,BRA,NM,protectiago,Tiago Batista Oliveira,2090,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
715,44,ARE,CM,Alblooshi_Hamad,Hamad Alblooshi,2210,U--,L343W,L421B,L336W,L446B,U--,U--,U--,U--,U--,U--,0,10.5,11.5,0,0,0,0,2416
716,572,KAZ,FM,1mbl4,Imangali Akhilbay,2635,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
717,572,VEN,WFM,amelia91,Amelia Hernandez,2188,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
718,632,NLD,CM,shirovin,Marcel Winkels,2161,L573W,L266B,L630B,L351W,L366B,L401W,L427W,L413B,U--,U--,U--,0,23,24,0,0,0,0,2366
719,525,ARG,WFM,Trovita84,Leslie Carolin Torres Hernandez,2266,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
720,487,NOR,FM,EGK_06,Eivind Grunt Kreken,2460,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0


