Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
142,262,USA,NM,HaryKane,Deepak Aaron,2531,L17B,W272W,L18W,W246B,W281W,L30B,W379W,W116B,L56B,L71W,D146W,5.5,59,61,19.25,0,5,2,2617
143,427,USA,WIM,Iuckyducky,Kelsey Liu,2300,L442B,W129W,W119B,W111W,L10W,L149B,L342B,W182W,D127B,L91W,W190W,5.5,58.5,59.5,30.5,0,5,1,2584
144,213,RUS,IM,karinachess1,Karina Ambartsumova,2645,W285W,L307W,W193B,L69B,W184W,L43W,W351B,D321B,L47W,W329B,L87W,5.5,58,59.5,21.75,0,5,3,2626
145,209,HUN,GM,Pidzsy,Gabor Papp,2572,W470W,L11W,W203B,L26B,L224W,W218B,W383B,L90W,W180B,D89W,L98B,5.5,56.5,57.5,20.75,0,5,4,2553
146,382,RUS,CM,Denisenko_Denis,Денис Денисенко,2449,L403B,W461B,W157W,L116W,W131B,W141B,W344W,L27B,L50W,L108W,D142B,5.5,55.5,56.5,24.75,0,5,3,2630
147,253,POL,CM,cthulhuuu,Michal Mazurkiewicz,2455,L21B,W166W,L239B,W383B,W225W,L333B,W64W,W233W,L80B,D84B,L95W,5.5,55,58,26.25,0,5,1,2648
148,197,UKR,GM,Mikhail_Golubev,Mikhail Golubev,2598,W252W,L401W,W176B,L29W,W329B,D354B,L94W,W359B,W98W,L47B,L101B,5.5,54.5,56.5,24.25,0,5,3,2609
149,190,KAZ,CM,NelsonLinda,Miras Assylov,2702,W511B,L310B,W457W,L308B,W412W,W143W,L26B,L87W,D208B,L101W,W189B,5.5,52,52,15.25,0,5,2,2561
150,191,USA,NM,Denmark2015,D. M.,2565,L362W,L123B,W201W,W176B,L88W,D350B,W197W,L175B,W200B,W189W,L90B,5.5,51,54.5,25,0,5,2,2458
151,185,ISR,FM,OriTaichman,Ori Taichman,2680,W275W,L86W,W200B,L53B,L169W,D358B,W396W,W360B,W175W,L81W,L91B,5.5,50.5,52.5,19.25,0,5,2,2601
152,199,BLR,FM,andrew-blr,Andrei Olhovik,2604,W271W,L57W,W429B,L90W,L360B,W180B,W221W,D324B,L86W,W208B,L93B,5.5,50,51.5,19.25,0,5,3,2572
153,354,USA,NM,AquaPython,Qi Pang,2496,L56B,L68B,D474W,W254W,L109B,W434W,W395W,W188B,L64W,D110W,D139B,5.5,50,50.5,17.5,0,4,1,2543
154,228,INT,FM,Alexei_Gubajdullin,Alexei Gubajdullin,2740,W273B,L72B,D238W,W434B,L357W,W241B,L77W,W179B,W205W,L38W,L84B,5.5,49.5,51,18.25,0,5,4,2548
155,384,BRA,NM,PapaieDudu,Eduardo Barbosa Mesquita,2501,L66B,L119W,D273B,W297B,L130W,W157W,L101B,L243B,W242W,W204W,W202B,5.5,49,49,19,0,5,2,2521
156,266,MEX,CM,robertoalejandro10,Roberto Al Avila Bautista,2475,L86B,L247W,W275B,L181W,W272B,D159W,D350B,W167B,D178W,L121W,W199B,5.5,47,49,20.75,0,4,4,2466
157,201,AZE,FM,HajiyevKanan,Hajiyev Kanan,2554,L225W,W219B,L146B,D429W,L192W,L155B,W230W,L159B,W203B,W197W,W198B,5.5,46.5,48,22.25,0,5,3,2387
158,336,BEL,FM,Akhayan,Ruben Akhayan,2351,L82W,L58W,D254B,L227B,W257W,W194B,W394W,L207W,L173B,W238W,W205B,5.5,45.5,48,19.5,0,5,2,2510
159,401,FRA,FM,brouetoscope,Thomas Decker,2400,L435B,W113B,L369W,W466B,L373W,D156B,L199W,W157W,W243B,W188W,L97W,5.5,43,44,23.25,0,5,3,2546
