Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,2,NOR,GM,MagnusCarlsen,Magnus Carlsen,3306,W279W,W109B,W70W,W15B,W13W,W7B,D2W,W3W,W37B,W4W,W6B,10.5,83.5,88,83.25,0,10,5,3014
2,9,UZB,GM,Javokhir_Sindarov05,Javokhir Sindarov,3145,W138B,W235W,W24B,W42W,W45B,W130W,D1B,L4B,W443W,W26B,W7W,9.5,78,83,68.75,0,9,4,2946
3,3,USA,GM,GMWSO,Wesley So,3213,W79B,W52W,W61B,W107W,W38B,W23W,D12W,L1B,D11B,W49W,W36B,9,80.5,87,67.75,0,8,4,2990
4,5,NLD,GM,AnishGiri,Anish Giri,3150,W243B,W74W,W459B,W62W,W39B,W164W,L37B,W2W,W8W,L1B,W23W,9,77,82,64,0,9,3,2989
5,11,VNM,GM,wonderfultime,Tuan Minh Le,3080,W487B,W85W,W75B,W31W,L23B,W25W,W445B,D38B,W42W,W13W,D9B,9,76.5,80.5,64.25,0,8,3,2907
6,27,AZE,IM,Murad_Ibrahimli,Murad İbrahimli,2966,W619B,W287W,W103B,W121W,L130B,W84W,W67B,W20W,W12W,W10B,L1W,9,73.5,74.5,58,0,9,4,2907
7,26,RUS,GM,shimastream,Aleksandr Shimanov,3019,W645W,W567B,W131W,W80W,W64B,L1W,W27B,W446B,W440W,W37W,L2B,9,70.5,70.5,50.5,0,9,4,2956
8,23,RUS,IM,Rud_Makarian,Rudik Makarian,3132,W511B,W137W,W66B,W132W,W470B,L12B,W457W,W19W,L4B,W25W,W24B,9,70,73,55.5,0,9,4,2925
9,19,IRN,FM,rezamahdavi2008,Reza Mahdavi,3068,W643B,W469W,W133B,L64W,D59B,W220W,W60B,W41W,W48W,W38B,D5W,9,68.5,68.5,53.5,0,8,4,2829
10,17,JPN,GM,Angry_Twin,Andrey Drygalov,3047,W644B,W141W,U--,W468B,W131W,W221B,W15W,W173W,W23B,L6W,W19W,9,61.5,61.5,52.5,0,9,4,2860
11,44,RUS,GM,BillieKimbah,Maxim Matlakov,2972,W479W,D500B,W283B,W534W,W497B,L444B,W105W,W103B,D3W,W17B,W22W,9,59.5,62,49.75,0,8,4,2841
12,1,USA,GM,Hikaru,Hikaru Nakamura,3295,W159B,W158W,W40B,W443W,W14B,W8W,D3B,L37W,L6B,W48W,W38B,8.5,78,84,63,0,8,4,2974
13,34,MEX,GM,Jospem,Jose Martinez,3075,W242W,W509B,W449W,W60W,L1B,W61W,W111W,D40B,W18W,L5B,W47W,8.5,74,77,53.75,0,8,1,2864
14,28,DEU,GM,rasmussvane,Rasmus Svane,3012,W268W,W153B,W59W,W51B,L12W,W483B,L40W,W63B,D32W,W60B,W58W,8.5,71,75,55,0,8,5,2845
15,56,USA,GM,TigrVShlyape,Gata Kamsky,2868,W168W,W495B,W448W,L1W,W485B,W68W,L10B,W66B,D78W,W102B,W37B,8.5,70.5,74,51,0,8,5,2859
16,4,USA,GM,DanielNaroditsky,Daniel Naroditsky,3094,W555W,L490B,L218B,W233W,W225W,W166B,W76W,W459B,D20B,W40W,W50W,8.5,59.5,61.5,49,0,8,2,2719
17,15,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3080,W200B,W30W,W68B,W25W,L164B,W64W,L19B,W462W,W446B,L11W,W70B,8,71.5,76.5,53.5,0,8,4,2864
18,129,ROU,FM,IMchanged,Felix Ilinca,2830,W641W,W317B,W33W,D49W,W21B,L43B,W39W,W452W,L13B,D35W,W79B,8,71.5,72,48.25,0,7,3,2891
19,48,ARM,GM,Sam_ChessMood,Samvel Ter-Sahakyan,2946,W536W,W476B,L102W,W150B,W110W,W63B,W17W,L8B,W449W,W441W,L10B,8,69.5,72,47.5,0,8,3,2844
20,67,IND,IM,the_chess_child,Ilamparthi A R,2913,W145W,W565B,W94W,W440W,L456B,W22W,W460B,L6B,D16W,D78B,W81B,8,69.5,71.5,49.75,0,7,3,2923
21,37,UZB,GM,Shield12,Shamsiddin Vokhidov,2990,W311B,W189W,W83B,D349W,L18W,W96B,W114W,D44B,W67W,L22W,W63B,8,67.5,71,49.5,0,7,4,2802
22,10,IRN,GM,amintabatabaei,Amin Tabatabaei,3118,W258W,L65B,W232W,W551B,W147W,L20B,W463W,W111B,W34W,W21B,L11B,8,67.5,69.5,45.5,0,8,3,2788
23,49,UZB,IM,Zohid6,Mukhammadzokhid Suyarov,2944,W204B,W620W,W548B,W136W,W5W,L3B,W456B,W444W,L10W,W440B,L4B,8,67.5,68.5,41.5,0,8,4,2966
24,107,IRN,FM,Gangster-accountant01,Barad Yeganegi,2863,W292W,W516B,L2W,W196B,W69W,L173B,W172W,W460W,W46B,W442B,L8W,8,67,70,45.5,0,8,4,2829
25,71,UKR,GM,sokidze,Ihor Samunenkov,2884,W537W,W499B,W510W,L17B,W492W,L5B,W30W,W87W,W43B,L8B,W78W,8,65.5,68,42,0,8,2,2833
