Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,11,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3057,W256B,W691W,W102B,W28W,W49B,W27W,W129W,D2B,L6W,W50B,W15B,9.5,77,78,64.25,0,9,5,2888
2,58,UKR,GM,KuzubovYuriy,Yuriy Kuzubov,2973,W542W,W266B,W225W,W582B,W53W,W13B,W7W,D1W,L4B,W12W,W16B,9.5,76,79,64.75,0,9,4,2935
3,19,UKR,GM,GOGIEFF,Anton Korobov,3030,W234B,W482W,W622B,W55W,W57W,L129B,W17W,W30B,W25W,D4W,W13B,9.5,71.5,72.5,61.25,0,9,4,2894
4,14,BLR,GM,DenLaz,Denis Lazavik,3104,D605W,W408B,W659W,W557B,W34B,W62W,D31W,W35B,W2W,D3B,W6B,9.5,69,70.5,60.5,0,8,5,2900
5,2,SVN,GM,Bigfish1995,Vladimir Fedoseev,3064,W467W,W279B,W43W,D536B,W74W,L25B,W162B,W90W,W129W,W511B,W7W,9.5,68.5,70.5,60.25,0,9,3,2891
6,24,UZB,GM,Macho_2006,Mukhiddin Madaminov,2946,W130W,W85B,W76W,W17B,W48W,W522W,W25B,W12W,W1B,L7B,L4W,9,81,86,67.5,0,9,4,2916
7,9,VNM,GM,wonderfultime,Tuan Minh Le,3088,W136B,W89W,W524B,W572B,W32W,W35W,L2B,W11W,W26B,W6W,L5B,9,79.5,82.5,63.5,0,9,4,2945
8,12,DEU,GM,GM_dmitrij,Dmitrij Kollars,3000,W640W,W636B,L163W,W137B,W87W,W97W,W80B,W9B,L16W,W30B,W33W,9,69,71,56.5,0,9,5,2838
9,34,SRB,GM,mishanick,Aleksei Sarana,3038,W755W,W629B,W112W,L25B,W220B,W546W,W51B,L8W,W99B,W34W,W36B,9,66,66,49,0,9,5,2798
10,55,IND,GM,Vaathi_Coming,Aravindh Chithambaram,2934,L336B,W348W,L245B,W252W,W277W,W578B,W85W,W525B,W68B,W26W,W38W,9,60.5,63.5,53.5,0,9,3,2664
