Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,2,FRA,GM,Firouzja2003,Alireza Firouzja,3228,W356W,W112B,W290W,W70B,W293W,W299B,W292W,W3B,L15B,W7W,W6B,10,69,72,64,0,10,5,2956
2,23,USA,GM,SpeedofLight0,Andrew Hong,3103,W88B,W303W,W127B,L44W,W56W,W290B,W22W,W25W,D6B,W13W,W3B,9.5,73,78,66.75,0,9,4,2866
3,14,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3117,W77W,W99B,W301W,W46B,W317B,W27W,W294B,L1W,W19B,W15W,L2W,9,73,77,57.5,0,9,5,2898
4,21,IND,GM,champ2005,Raunak Sadhwani,3030,D61B,W454W,W412B,W69W,W53B,D6W,D71B,W35W,D31B,W21W,W16W,9,68,68.5,53.75,0,7,2,2878
5,57,INT,GM,Igor_Lysyj,Igor Lysyj,2828,W459W,D144B,W361W,W96W,W37B,D18B,L6W,W89B,W24W,W20W,W15B,9,67.5,67.5,52.5,0,8,3,2854
6,11,DEU,GM,Msb2,Matthias Bluebaum,3124,W76B,W100W,W71B,D53W,W72W,D4B,W5B,W20W,D2W,W8B,L1W,8.5,80.5,86.5,63.75,0,7,4,2939
7,1,GRC,GM,NikoTheodorou,Nikolas Theodorou,3090,W131B,W381W,W47B,L295B,W296W,W14B,D29W,W294W,W9B,L1B,W19W,8.5,71,73,53.75,0,8,4,2910
8,6,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3081,W488W,W51B,D42W,L89B,W366W,W17B,W50W,W70B,W14W,L6W,W29B,8.5,68,68,50,0,8,4,2841
9,26,ARM,GM,Sargsyan_Shant,Shant Sargsyan,3051,W398W,W431B,W65W,D59B,D50W,W42W,W27B,W88W,L7W,D25B,W31B,8.5,67.5,68.5,49,0,7,3,2843
10,27,DEU,GM,rasmussvane,Rasmus Svane,3012,W429B,W90W,W62B,L317W,W93B,W45W,W291B,D13W,L16W,W32B,W27W,8.5,67,68,52,0,8,5,2814
11,36,SRB,GM,Beca95,Aleksandar Indjic,2915,W367W,W57B,W296W,L49B,W84W,W301W,D95B,W71W,L13B,W45W,W30B,8.5,66,68.5,50.5,0,8,2,2779
12,19,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3080,D455B,W134W,L96B,W104W,W52W,W91B,L69B,W98W,W71B,W33W,W35B,8.5,64.5,65,52.25,0,8,3,2707
13,7,RUS,GM,lachesisQ,Ian Nepomniachtchi,3118,W183B,W313W,D28B,W33W,W89B,D294B,W21W,D10B,W11W,L2B,D25W,8,73.5,78,53.75,0,6,2,2865
14,24,UKR,GM,eljanov,Pavel Eljanov,2874,W460W,W78B,D74W,W17W,W23B,L7W,W309W,W28B,L8B,D42W,W50B,8,72,72,48.25,0,7,4,2863
15,10,USA,GM,jefferyx,Jeffery Xiong,3013,W97W,W161B,W347W,L294W,W51B,W47W,W293B,W292B,W1W,L3B,L5W,8,70,73,49.5,0,8,4,2886
16,5,IND,GM,vi_pranav,Pranav V,3099,W442B,W107W,W32B,L293B,W344W,L48B,W81W,W95W,W10B,W26W,L4B,8,67,68,46.5,0,8,3,2807
17,88,USA,NM,Chessgodisback2008,Ethan Sheehan,2941,W191B,W222W,D18W,L14B,W144B,L8W,W104W,D60B,W94W,W43W,W44B,8,66.5,70,46,0,7,3,2803
18,13,NLD,GM,GMBenjaminBok,Benjamin Bok,3068,W413B,W432W,D17B,W28W,W329B,D5W,W48B,L19W,L44W,W49B,W34W,8,66,67,43.5,0,7,4,2832
19,30,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2924,W272W,D379B,W144W,W36B,D59W,W49B,W300W,W18B,L3W,W47B,L7B,8,66,66,44,0,7,4,2841
20,28,SRB,GM,DrVelja,Velimir Ivic,2972,W157W,W52B,L165W,W333B,W87W,W92W,W297B,L6B,W290W,L5B,W48W,8,65.5,69,46.5,0,8,3,2772
21,45,UKR,GM,sokidze,Ihor Samunenkov,2884,W335B,W345W,W132W,L27B,W150W,W89W,L13B,W169W,W43B,L4B,W42W,8,63.5,66.5,42,0,8,2,2800
22,97,CAN,FM,reevecanada,Aaron Mendes,2734,W311W,L351B,W109W,W102B,W341W,W308B,L2B,W38W,L29W,W88B,W55W,8,61.5,64.5,44.5,0,8,3,2745
23,39,POL,IM,Kosak12,Jakub Kosakowski,2823,W252B,W124W,D366W,W91B,L14W,D302W,L63B,W85B,W100W,W89B,W46W,8,59.5,61.5,42.75,0,7,4,2728
24,16,RUS,GM,dropstoneDP,David Paravyan,3097,L212W,L349B,W213W,W180B,W109W,W138W,W40B,W301W,L5B,W36W,W53B,8,59,62,46.5,0,8,3,2650
25,48,UKR,GM,onyshchuk_v,Volodymyr Onyshchuk,2972,W314B,W362W,L337B,W177W,W345B,W325W,W43W,L2B,W88W,D9W,D13B,8,58,60.5,39.75,0,7,2,2784
26,33,USA,GM,MikaelyanArman,Arman Mikaelyan,2933,L365B,W328W,W346B,L103W,W399B,W66W,W93B,W302B,W69W,L16B,W47W,8,55,57,40.5,0,8,4,2710
27,148,ARG,IM,lamomiajunior,Joaquin Fiorito,2744,W492B,W267B,W29W,W21W,W295B,L3B,L9W,W48W,D39B,W37W,L10B,7.5,70,70,40.25,0,7,3,2931
28,76,INT,FM,NovozhilovSemen,Semen Novozhilov,2784,W315B,W105W,D13W,L18B,W136W,W143B,W30B,L14W,D63B,W98B,D38W,7.5,68.5,73,45.75,0,6,4,2812
29,41,RUS,GM,alexrustemov,Alexander Rustemov,2835,W331B,W419W,L27B,W146W,W67B,W165W,D7B,D69W,W22B,D31W,L8W,7.5,67,68,40.75,0,6,3,2832
30,18,USA,GM,DanielNaroditsky,Daniel Naroditsky,3094,W109W,W325B,L49W,D362B,W78W,W75B,L28W,W92B,W291W,W44B,L11W,7.5,65,67.5,43.25,0,7,4,2757
31,4,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3093,W68W,W344B,W390W,W318B,L294W,D50B,W37W,W295B,D4W,D29B,L9W,7.5,64.5,66.5,40.75,0,6,3,2874
32,73,ARG,IM,IlanSchnaider,Ilan Schnaider,2756,W159W,W114B,L16W,L94B,W149W,W113B,W97W,D297B,W138W,L10W,W72B,7.5,63,68,42.75,0,7,3,2702
33,70,POL,IM,Szparu,Miłosz Szpar,2881,W160B,D361W,W106B,L13B,L310W,W333W,W136B,W87W,W79W,L12B,W73B,7.5,60.5,63,40.75,0,7,4,2706
34,78,TCA,FM,Dolphin_2010,Aleksandr Usov,2835,L147B,W156W,W97B,W382W,D73B,L311W,W128B,W310W,W95B,W39W,L18B,7.5,58.5,60.5,39.75,0,7,3,2646
35,55,SMR,FM,Flaming_Flare,Havard Haug,2792,D332W,L409B,W197W,W106B,W362W,W73B,W307W,L4B,W74B,W75W,L12W,7.5,57.5,59,38.25,0,7,3,2756
36,99,POL,FM,NajdorfPlayerc5,Piotr Brzezina,2718,W250W,D365B,W143W,L19W,L332B,W133W,W222B,W41W,W59W,L24B,W70W,7.5,57,59,38.25,0,7,1,2735
37,67,DEU,GM,chessdjw,Dennis Wagner,2804,W494W,D177B,W104W,W365B,L5W,W222B,L31B,W313W,W296W,L27B,W74B,7.5,57,57,30.75,0,7,3,2719
38,35,INT,FM,snowlord,Ivan Yeletsky,2870,L143B,W274W,W298W,W397B,L90B,W103W,W325B,L22B,W303W,W63W,D28B,7.5,56,56,33.25,0,7,2,2662
39,42,ARM,GM,Sam_ChessMood,Samvel Ter-Sahakyan,2946,W145W,D412B,D333W,W380B,L291W,W146B,W90B,W165W,D27W,L34B,W71W,7.5,54,55.5,35.75,0,6,3,2683
40,117,RUS,FM,Bob_2004,Vadim Bobkov,2605,W193W,W430B,L299W,L126B,W160W,W351B,L24W,W114W,D129B,W125B,W69W,7.5,54,55,33.75,0,7,3,2650
41,46,INT,FM,BardArtem,Artem Bardyk,2888,U--,L336W,W230W,W191B,W393W,D128B,W178W,L36B,W64W,W124B,W75W,7.5,47,49,35.25,0,7,2,2568
42,75,USA,CM,MrLion3000,Isaak Parpiev,2800,W95W,W60B,D8B,D58W,W105W,L9B,W298W,D79B,W297W,D14B,L21B,7,71,76.5,45,0,5,1,2758
43,9,SRB,GM,mishanick,Aleksei Sarana,3101,W326B,W93W,W45B,W55W,W44B,L292W,L25B,W49W,L21W,L17B,W82W,7,70.5,74.5,44.5,0,7,3,2826
44,60,IRN,FM,ReadySkate,Hamidreza Ebrahimi Herab,2920,W433B,W128W,W192W,W2B,L43W,L297W,W117B,W51W,W18B,L30W,L17W,7,68,69,41,0,7,4,2795
45,77,RUS,IM,Korchmar_Vasiliy,Vasiliy Korchmar,2744,W153W,W102B,L43W,W113W,W60B,L10B,D76W,W124B,W125W,L11B,D54B,7,67.5,72.5,41.75,0,6,3,2744
46,59,USA,GM,WoodlandMagic,Gleb Dudin,2858,W64W,W334B,W108W,L3W,W79B,L95W,W105B,L291W,W119B,W66W,L23B,7,67.5,71,42,0,7,4,2685
47,68,ESP,GM,iwanyu,Alvar Alonso Rosell,2837,W368B,W94W,L7W,W128B,W66W,L15B,W129W,W305B,W292W,L19W,L26B,7,67.5,70,37.5,0,7,3,2819
48,65,ALA,FM,TanitoluwaAps116,Tanitoluwa Adewumi,2859,W110W,W300B,W396B,L299W,W103B,W16W,L18W,L27B,W117W,W90B,L20B,7,65.5,67.5,39,0,7,4,2786
49,91,RUS,FM,Artem_0degov,Аrtеm Odеgоv,2820,W446W,W346B,W30B,W11W,L299B,L19W,W140B,L43B,W60W,L18W,W99B,7,65.5,66.5,38.5,0,7,4,2830
50,64,RUS,GM,SavelijTartakover,Dmitry Kryakvin,2918,W445B,D310W,W179B,W133W,D9B,D31W,L8B,D91W,W150B,W56B,L14W,7,65,66,36.25,0,5,4,2796
51,132,POL,FM,Hilary46,Karol Kucza,2601,W219W,L8W,W137B,W314B,L15W,W131B,W72W,L44B,W298W,L55B,W98W,7,64,67.5,37,0,7,3,2767
52,151,CHL,IM,manitodeplomo,Daniel Barria,2663,W194W,L20W,W153B,D311W,L12B,W137B,D53W,W140B,D72W,D95B,W115W,7,62.5,66.5,38,0,5,3,2679
53,58,RUS,IM,AlexTriapishko,Alexandr Triapishko,2887,W479B,W420W,W188B,D6B,L4W,L310B,D52B,W105W,W57B,W116W,L24W,7,61.5,61.5,32.25,0,6,3,2745
54,34,USA,GM,TigrVShlyape,Gata Kamsky,2868,W399W,W291B,D91W,D101B,W303B,L71W,L89B,W144W,W58W,D69B,D45W,7,61,63,37.75,0,5,2,2700
55,54,RUS,IM,MatthewG-p4p,Matvey Galchenko,2915,W151B,W374W,W147B,L43B,W119W,L300B,L57W,W111B,W305W,W51W,L22B,7,61,63,36,0,7,3,2687
56,124,INT,FM,Alexei_Gubajdullin,Alexei Gubajdullin,2675,W304W,L395B,W335W,W145W,L2B,L97B,W120W,W77B,W151B,L50W,W88B,7,59.5,61.5,37,0,7,3,2612
57,157,EGY,IM,KevinGeorgeMicheal,Kevin George,2605,W217W,L11W,W443B,W130W,L308B,W108W,W55B,L290B,L53W,W151B,W95W,7,59,60,34,0,7,3,2672
58,283,MDA,IM,Slovineanu,Veaceslav Slovineanu,2542,D69W,W302B,W330W,D42B,W101W,L307B,D74W,W322W,L54B,D107B,W100W,7,58.5,62,37.5,0,5,1,2813
59,61,LTU,GM,ContrVersia,Valery Kazakouski,2846,W415W,W85B,W371W,D9W,D19B,U--,W150W,D63W,L36B,D67W,W121B,7,58,59.5,36.75,0,5,2,2714
60,195,CZE,FM,Slovak_fighter2000,Marek Karas,2473,W406W,L42W,W414B,W127W,L45W,D83B,W221B,D17W,L49B,W130W,W116B,7,58,59.5,31.25,0,6,3,2641
61,231,MDA,FM,nicolai1950,Nicolai Ianocichin,2643,D4W,W270B,L69W,L302B,W316W,W366B,L141B,D101W,W158B,W91W,W93B,7,56,56.5,32,0,6,4,2739
62,109,SRB,FM,stefan_95,Stefan Mladenovic,2683,W441W,W154B,L10W,L98B,W147W,L163B,L145W,W219B,W140W,W106B,W111W,7,55.5,56.5,32,0,7,3,2577
63,1,ISR,IM,xasid81,Yuri Zhizmer,2715,U--,W237W,W125B,L88W,W389B,W326W,W23W,D59B,D28W,L38B,W119B,7,54.5,56.5,35.75,0,6,3,2704
64,268,BRA,FM,GiorgianBarbosa,Daniel Rangel,2452,L46B,L359W,W493B,W264B,W82W,W67W,L165B,W99W,L41B,W150W,W90W,7,54,54,31.5,0,7,2,2627
65,105,USA,FM,ChessSwole,Derek Wu,2700,W461W,W389B,L9B,L73W,L339B,W135W,W157W,L66B,W326W,W113W,W117B,7,53.5,53.5,28.5,0,7,2,2602
66,169,GBR,CM,MareleAlb,Sasha-Matei Craciun,2715,L395W,W478B,W430W,W391W,L47B,L26B,W122W,W65W,W92B,L46B,W89W,7,52,52,28,0,7,2,2692
67,213,RUS,IM,TatjanaVasilevich,,2719,U--,W304B,W148W,W192B,L29W,L64B,W191B,D315W,W181W,D59B,W92W,7,50.5,54.5,34.25,0,6,3,2597
68,214,POL,FM,WPWPWP-2015,Wojciech Przybylski,2594,L31B,W477W,L340B,W158W,L130B,W207W,L327B,W354B,W101W,W305B,W107W,7,49,49,29,0,7,2,2653
69,74,BRA,GM,GMKrikor,Krikor Sevag Mekhitarian,2756,D58B,W180W,W61B,L4B,W361W,W332B,W12W,D29B,L26B,D54W,L40B,6.5,69.5,72,36.75,0,5,2,2777
70,51,HUN,GM,bancsoo,Tamas Banusz,3004,W277W,W111B,W73B,L1W,D124B,W96B,W311W,L8W,L75B,W79W,L36B,6.5,67.5,67.5,32.25,0,6,3,2753
71,85,DEU,GM,JanistanTV,Jan Gustafsson,2806,W462W,W434B,L6W,W114B,W163W,W54B,D4W,L11B,L12W,W129B,L39B,6.5,66.5,66.5,29,0,6,4,2813
72,40,ARE,IM,Kirill_Klukin,Kirill Klukin,2925,W125W,D96B,W310W,W80W,L6B,D124W,L51B,W306W,D52B,W78W,L32W,6.5,65,69.5,37.25,0,5,0,2715
73,208,RUS,IM,Snowball-03,Sergey Slugin,2631,W249B,W422B,L70W,W65B,D34W,L35W,L75B,W152B,W127W,W83B,L33W,6.5,61.5,62.5,30.75,0,6,5,2748
74,98,USA,FM,Bryanl106,Bryan Enming Lin,2818,W135B,W421W,D14B,D322B,L88W,W132W,D58B,W311B,L35W,W126B,L37W,6.5,61,62,31.5,0,5,3,2699
