Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
362,402,NLD,FM,aranibos,Aran Köhler,2274,L274B,W127W,L334W,L126B,W422W,L319B,D162B,W241W,L160W,L207B,U--,3.5,42.5,44.5,14.25,0,3,0,2489
363,95,HUN,IM,AlleyOoper,Peter Lizak,2617,W228B,W378W,L2B,W406W,U--,U--,U--,U--,U--,U--,U--,3,16.5,18.5,9,0,3,1,2750
364,70,POL,FM,carokannlover213,Patryk Cieslak,2835,W204W,W403B,W396W,L7W,U--,U--,U--,U--,U--,U--,U--,3,15.5,17.5,8.5,0,3,1,2717
365,60,EGY,GM,Dr-Bassem,Bassem Amin,2820,W422B,W340W,W393B,L11W,U--,U--,U--,U--,U--,U--,U--,3,14.5,16.5,8,0,3,2,2735
366,61,DEU,FM,MarcoRiehle,Marco Riehle,2802,W465W,W155B,W124W,L4B,L62W,U--,U--,U--,U--,U--,U--,3,27.5,28.5,12.5,0,3,1,2716
367,31,ESP,GM,platy3,Alan Pichot,3018,W146B,L92W,W433B,W400W,L64B,U--,U--,U--,U--,U--,U--,3,21,22.5,9,0,3,2,2587
368,1,ARM,NM,Manukyan_Artak,Artak Manukyan,2433,U--,W248W,W98B,W316B,L332W,U--,U--,U--,U--,U--,U--,3,16,19.5,15.5,0,3,2,2696
369,249,LKA,FM,IsuruAlahakoon,Isuru Alahakoon,2401,L305W,W212B,W49B,L19W,W231W,L46B,U--,U--,U--,U--,U--,3,34,38,16,0,3,2,2709
370,45,SYR,IM,Rsnr,Arsene Kukhmazov,2845,W401B,L344W,W136B,W70W,L333B,L124W,U--,U--,U--,U--,U--,3,26.5,28.5,15,0,3,2,2577
371,102,MEX,FM,Jarming,Julian Anotnio Rojas Alarcon,2807,W296W,W462B,L17W,L215W,W263B,L45W,U--,U--,U--,U--,U--,3,23.5,23.5,4,0,3,2,2620
372,213,BGR,CM,koncheto,Ivan Kochiev,2482,W298W,W43B,L55B,W398W,L321B,L49W,L50B,U--,U--,U--,U--,3,36.5,36.5,9.5,0,3,1,2736
373,438,SRB,WFM,APOKALIPSA13,Radmila Kovacevic,2072,L105B,L67B,L150W,W249W,W469B,L157W,W153B,U--,U--,U--,U--,3,33,34,10,0,3,2,2478
374,357,PER,WFM,teresin05,Maria Teresa Jimenez Salas,2409,L69W,L360W,L474B,W518W,W470B,W173W,L123B,U--,U--,U--,U--,3,23.5,23.5,6,0,3,1,2489
375,460,POL,FM,Walter_White_Poland,Adam Kujawski,2399,U--,U--,U--,U--,W253W,W259W,W280B,U--,U--,U--,U--,3,6,8,8,0,3,1,2174
376,322,ESP,CM,JavierRuizVazquez,Javier Ruiz Vazquez,2506,L447B,L58W,W379B,L336W,W287B,L131W,W186B,L92B,U--,U--,U--,3,32.5,33.5,9,0,3,3,2544
377,475,RUS,FM,SerGo055,Sergey Nefedov,2621,U--,U--,W237B,W461W,L176B,L195W,W190W,L228B,U--,U--,U--,3,23,24,10,0,3,1,2403
378,316,RUS,NM,DebileMenthol,Arseniy Kryazhev,2326,W413B,L363B,W118W,L64B,L339W,W380B,L131B,L316W,L180B,U--,U--,3,39.5,41.5,11,0,3,2,2606
379,422,UKR,WCM,ritanovikova,Margarita Novikova,2195,L117B,L418W,L376W,W512B,U--,W286B,W246W,L128W,L135B,U--,U--,3,27.5,27.5,4.5,0,3,2,2442
380,472,ESP,CM,NowInChess,Gerardo Fernandez,2313,U--,U--,U--,W266B,W235B,L378W,W422W,L137B,L216W,U--,U--,3,20,22,9,0,3,2,2459
381,55,INT,FM,bascheyaro,Roman Yanchenko,2816,W315W,W125B,D149W,L310B,U--,U--,U--,U--,U--,U--,U--,2.5,17,22.5,14.25,0,2,1,2717
382,119,NOR,IM,M1711,Mads Vestby-Ellingsen,2648,W494B,D225W,W437W,L34B,U--,U--,U--,U--,U--,U--,U--,2.5,13,13,3.5,0,2,1,2538
383,192,SYC,IM,Baronessa08,Olga Badelka,2523,L66B,D161W,W201W,W358B,L236B,L187W,U--,U--,U--,U--,U--,2.5,26,29.5,10.75,0,2,1,2449
384,259,PAK,FM,SHIVACalypso,Levente Miszler,2540,D41W,L324W,W415B,L84B,W225W,L350B,U--,U--,U--,U--,U--,2.5,26,28,9.75,0,2,1,2713
385,210,ESP,FM,JG-17,Jose Antonio Garrido Diaz,2626,W464B,L398B,D358W,W271B,L91B,L44W,U--,U--,U--,U--,U--,2.5,22,23,5.25,0,2,2,2543
386,251,USA,NM,heyerik,Erik Tkachenko,2513,W20W,W98W,L321B,L72B,D180W,L174B,L150W,U--,U--,U--,U--,2.5,37,42,17,0,2,0,2721
387,252,DNK,FM,patzer-reloaded,Sandi Stojanovski,2418,L5B,L233W,D254B,W251W,W434B,L99B,L161W,L358W,U--,U--,U--,2.5,35,36.5,6.5,0,2,1,2461
388,410,DOM,FM,BeautiFullMindChess,Jonathan Subervi,2223,L262B,L430B,D223W,L201B,L196W,W249B,W437W,L162W,U--,U--,U--,2.5,27,28.5,7,0,2,1,2493
389,408,GBR,NM,Sacbutt,Ieuan Ward,2306,L428B,L164W,L292B,D483W,W223W,L119B,W273B,L184W,U--,U--,U--,2.5,25,25.5,6.75,0,2,1,2458
390,9,UZB,NM,RomanianChessFighter2011,Marco Lantini,2309,U--,L327B,D208W,L161W,W251B,W435W,L177W,L160B,L207B,U--,U--,2.5,33,34.5,7.25,0,2,1,2439
391,100,ARG,GM,rfelgaer,Ruben Felgaer,2696,W119W,W459B,L304B,U--,U--,U--,U--,U--,U--,U--,U--,2,13,14,7,0,2,1,2780
392,25,BEL,GM,DanielDardha2005,Daniel Dardha,2911,W127B,W95W,L328B,U--,U--,U--,U--,U--,U--,U--,U--,2,12.5,17,12.5,0,2,1,2628
393,190,COL,FM,JERO-8914,Jeronimo Hernandez Jimenez,2530,W231B,W49W,L365W,U--,U--,U--,U--,U--,U--,U--,U--,2,11.5,14.5,11.5,0,2,1,2830
394,69,USA,IM,SchmakAttack,Sam Schmakel,2800,W457B,W406W,L261B,U--,U--,U--,U--,U--,U--,U--,U--,2,5,6,3,0,2,1,2531
395,240,POL,FM,frankshar,Franciszek Sernecki,2533,L6B,W232W,L314B,W255W,U--,U--,U--,U--,U--,U--,U--,2,18.5,21.5,7,0,2,0,2779
396,246,USA,NM,HaryKane,Deepak Aaron,2531,W9B,W445W,L364B,L57B,U--,U--,U--,U--,U--,U--,U--,2,18.5,19.5,9.5,0,2,1,2857
397,445,ZAF,WFM,powermove,Dantelle Joubert,2102,W132W,L312B,W432W,L79B,U--,U--,U--,U--,U--,U--,U--,2,18,19.5,7.5,0,2,0,2733
398,65,UZB,IM,Akewjon,Saidakbar Saydaliev,2754,W108B,W385W,L105B,L372B,U--,U--,U--,U--,U--,U--,U--,2,15,17.5,8.5,0,2,1,2554
399,156,DEU,GM,MathiasWomacka,Mathias Womacka,2543,W504W,L7W,L183B,W459W,U--,U--,U--,U--,U--,U--,U--,2,15,15,1,0,2,0,2660
400,172,HRV,FM,NLLO777,Lovro Novosel,2519,W358B,L307W,W192B,L367B,U--,U--,U--,U--,U--,U--,U--,2,14.5,17.5,8.5,0,2,2,2740
401,278,ITA,FM,Schattman,Florian Gatterer,2524,L370W,W178B,L322B,W287W,U--,U--,U--,U--,U--,U--,U--,2,13,14,6,0,2,1,2601
402,268,ESP,FM,jup1978,Juan Antonio Urbina Perez,2424,L325B,W224W,L407W,W230B,U--,U--,U--,U--,U--,U--,U--,2,12.5,14.5,8,0,2,1,2633
403,219,PYF,NM,SharathRk6,Sharath Radhakrishnan,2534,W234W,L364W,L191B,W258B,U--,U--,U--,U--,U--,U--,U--,2,12,15,7,0,2,1,2464
404,210,GRC,FM,HowTo2Draw,NIKOLAOS AGGELIS,2558,U--,W471B,W211W,L71B,U--,U--,U--,U--,U--,U--,U--,2,11.5,12.5,5.5,0,2,1,2505
405,14,BRA,CM,CalmdownCalabreso,Matheus Mendes Domingues Ribeiro,2565,U--,W258W,W290B,L61B,U--,U--,U--,U--,U--,U--,U--,2,10,11,4,0,2,1,2613
406,218,TUR,NM,cansun,Can Alp Cansun,2533,W417B,L394B,W206W,L363B,U--,U--,U--,U--,U--,U--,U--,2,9.5,11.5,6.5,0,2,1,2587
407,204,USA,IM,Tactrics,Aaron Grabinsky,2859,U--,W228W,W402B,L155W,U--,U--,U--,U--,U--,U--,U--,2,9.5,11.5,6,0,2,1,2523
408,57,SWE,NM,Chessgod9oninsta,,2807,W67W,L124B,W460W,L348B,L123W,U--,U--,U--,U--,U--,U--,2,22.5,23.5,8,0,2,0,2535
409,225,INT,NM,WanderingPuppet,Matthew O'Brien,2554,W280W,L25B,W277W,L171W,L134B,U--,U--,U--,U--,U--,U--,2,21,23,4,0,2,0,2446
410,221,USA,CM,tgpgoat,Pranav Senthilkumar,2543,W275W,L308B,W231W,L322W,L224B,U--,U--,U--,U--,U--,U--,2,19,21.5,6.5,0,2,0,2495
411,215,SRB,FM,Eleyah,Ilija Stanojevic,2556,W474W,L55W,L215B,W357B,L326W,U--,U--,U--,U--,U--,U--,2,19,20,4.5,0,2,1,2509
412,279,CAN,NM,savchess06,Savio Joseph Benher,2476,L49B,D284W,D209B,W464W,L361W,U--,U--,U--,U--,U--,U--,2,17,18,4,0,1,0,2491
413,86,CZE,IM,JakubPulpan,Jakub Pulpan,2712,L378W,W502B,L141W,W465B,L140W,U--,U--,U--,U--,U--,U--,2,15,15,1,0,2,2,2484
414,295,GRC,FM,anemih,Anastasios Mihailidis,2451,W58B,W72B,L25W,L76B,L69W,L359W,U--,U--,U--,U--,U--,2,35.5,39,14,0,2,2,2711
415,372,USA,NM,BuyBoxBandit,Shanmukha Meruga,2384,D103B,L121B,L384W,W484B,D130W,L263W,U--,U--,U--,U--,U--,2,24,24.5,6.75,0,1,1,2559
416,367,CUB,IM,FLYD,Lazaro Lorenzo De La Riva,2517,L331W,L222B,W280B,W458W,L175W,L120B,U--,U--,U--,U--,U--,2,21,22,3,0,2,1,2535
417,447,USA,NM,MikeSailer,Mike Sailer,2217,L406W,L354W,L246B,L102B,W521W,W237B,U--,U--,U--,U--,U--,2,19.5,19.5,4,0,2,1,2408
418,277,ARG,FM,corvachesky,Flavio Wisniacki,2535,U--,W379B,L72W,L231B,W256W,L205B,U--,U--,U--,U--,U--,2,18.5,21.5,6,0,2,1,2373
419,1,RUS,FM,dennisodessa,Mikhail Pesotskiy,2535,U--,L239W,W471B,W278B,L243W,L50B,U--,U--,U--,U--,U--,2,17,18,3,0,2,2,2415
420,393,IRN,FM,Lion_68,Mehrdad Sedaghati,2291,W130W,L316W,L155B,U--,L132W,W234B,L128B,U--,U--,U--,U--,2,29,33,10,0,2,1,2560
421,9,DEU,FM,LoonsDeKoeben,Jakob Weihrauch,2529,U--,L93B,L178W,W514B,W257W,L103B,L231W,U--,U--,U--,U--,2,25,25,3,0,2,1,2411
422,292,USA,NM,TheoSlade,Theodore Slade,2479,L365W,W281B,L89B,L93W,L362B,W472W,L380B,U--,U--,U--,U--,2,24.5,25.5,3,0,2,1,2498
423,470,EGY,IM,m_ezat,Mohamed Ezat,2744,U--,U--,L182B,W302W,L193B,W238B,L133W,U--,U--,U--,U--,2,20,20,4,0,2,1,2337
424,10,GRC,GM,NikoTheodorou,Nikolas Theodorou,3104,W483W,D431B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1.5,1.5,2,1.25,0,1,0,2612
425,145,FRA,FM,secretworker2027,Vincent Riff,2652,W133B,L8B,D315W,U--,U--,U--,U--,U--,U--,U--,U--,1.5,14.5,20,8.75,0,1,1,2839
426,160,DEU,IM,IMJonathanCarlstedt,Jonathan Carlstedt,2561,D209W,W190B,L21B,U--,U--,U--,U--,U--,U--,U--,U--,1.5,13,17.5,7.25,0,1,1,2640
427,211,SRB,WIM,joksijoksi,Jovana Srdanovic,2535,W495W,D44W,L236B,U--,U--,U--,U--,U--,U--,U--,U--,1.5,11.5,11.5,3.75,0,1,0,2761
428,179,COL,FM,becemix,Juan David Becerra Morales,2590,W389W,D34W,L35B,L100W,U--,U--,U--,U--,U--,U--,U--,1.5,21.5,24,6.25,0,1,0,2723
429,383,TUR,NM,MelihKaanCan,Melih Kaan Can,2327,L86W,W132B,D125W,L104W,U--,U--,U--,U--,U--,U--,U--,1.5,18.5,24.5,9,0,1,1,2595
430,266,USA,NM,subham777,Asish Panda,2602,L21B,W388W,D351W,L99B,U--,U--,U--,U--,U--,U--,U--,1.5,18,20.5,4.25,0,1,0,2747
431,154,NOR,FM,lucasran,Lucas Ranaldi,2612,W237W,D424W,L41B,L315B,U--,U--,U--,U--,U--,U--,U--,1.5,17,18.5,4.75,0,1,0,2836
432,227,INT,FM,ChessCoach64,John Doknjas,2503,W266W,L317W,L397B,D209W,U--,U--,U--,U--,U--,U--,U--,1.5,12.5,14.5,5.25,0,1,0,2410
433,256,EGY,CM,MinaWael23,Mina Wael Sabry,2521,W27B,L32W,L367W,L330B,D102W,U--,U--,U--,U--,U--,U--,1.5,26.5,29.5,11.25,0,1,1,2739
434,405,USA,NM,imdarealist,Jonathan Hrach,2274,L88W,W126W,D270B,L347B,L387W,U--,U--,U--,U--,U--,U--,1.5,18.5,21,7.25,0,1,0,2519
435,336,BRA,NM,urano56,Lucas Pereira Mendes Da Silva,2416,L167B,L68W,W509W,D130B,L113W,L390B,U--,U--,U--,U--,U--,1.5,26.5,26.5,3,0,1,0,2545
436,298,USA,NM,RamonManon0g,Ramon Jr. Manon-og,2453,L43W,W275B,L62B,D350W,L97B,L225W,L358B,U--,U--,U--,U--,1.5,32,34.5,4.25,0,1,1,2526
437,371,GBR,CM,kingside_rook,Manmay Chopra,2408,D121W,W103W,L382B,L197B,L85W,L208W,L388B,U--,U--,U--,U--,1.5,30.5,33,9.5,0,1,0,2577
438,140,USA,NM,dcremisi,Daniel Cremisi,2632,W193W,L14B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,8,13,5,0,1,0,3302
439,436,BRA,NM,TOCANTINS_TO,Alexandre Pinto De Miranda,2120,W45B,L107B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,7.5,13.5,7.5,0,1,1,2651
440,98,USA,GM,GMG,Andrey Gorovets,2743,W50W,L152B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,7.5,13,7.5,0,1,0,2461
441,204,CRI,FM,colegiodemadrid,Cristian Silva Lucena,2540,W509B,L54B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,7,7,0,0,1,1,2817
442,129,RUS,FM,Emp3rador,Павел Торопов,2630,W258B,L158W,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,5.5,8.5,3,0,1,1,2352
443,376,ESP,IM,HElissalt,Héctor Elissalt Cardenas,2289,W505B,L320B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,5,5,0,0,1,1,2697
444,385,GBR,NM,MAGMAchess02,Alfie Onslow,2280,L336W,W207W,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,4.5,8.5,4.5,0,1,0,2602
445,80,DEU,IM,The_Machine04,Ruben Gideon Köllner,2764,W501W,L396B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,2,2,0,0,1,0,2532
446,346,HUN,FM,Kombinator01,Dávid Haszon De,2250,W497B,L19B,L360W,U--,U--,U--,U--,U--,U--,U--,U--,1,11.5,11.5,0,0,1,1,2696
447,92,POL,IM,mr_gustavo,Jakub Seemann,2771,W376W,L166B,L128W,U--,U--,U--,U--,U--,U--,U--,U--,1,11,14,3,0,1,0,2486
448,315,USA,IM,GMJustin,Justin Sarkar,2363,L282W,L40B,W516B,U--,U--,U--,U--,U--,U--,U--,U--,1,9.5,9.5,0,0,1,1,2800
