Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
518,266,BEL,FM,Anar_Aliakbarov,Anar Aliakbarov,2679,D564B,W352W,L124B,L345B,D579W,D601B,W391W,W552W,L227B,U--,U--,4.5,33,35.5,15.25,0,3,0,2520
519,216,IND,IM,mbachez,Saravana Krishnan P,2619,W756B,L15W,D286B,L223W,W245B,W309W,W552B,L154W,L142B,L237W,U--,4.5,51,51,16,0,4,3,2587
520,460,NLD,FM,Masterbeaterr,Richard Vedder,2473,L566B,W652W,D220B,W118B,L89W,L150W,W603B,L226B,W554W,L171B,U--,4.5,46.5,48,17.25,0,4,2,2594
521,43,RUS,IM,Keranke,Vladimir Seliverstov,2945,W697B,W71W,W619B,W102W,L5B,U--,U--,U--,U--,U--,U--,4,25.5,26.5,17.5,0,4,2,2789
522,73,POL,IM,kids2010,Paweł Sowiński,2951,W192B,W111W,W183B,W202W,L15B,L121W,U--,U--,U--,U--,U--,4,34,40,25,0,4,2,2728
523,118,UKR,FM,Andrey_Klymchuk,Andrey Klymchuk,2801,W715W,W296B,W447W,L25W,W169B,L30W,U--,U--,U--,U--,U--,4,29,29.5,13.5,0,4,2,2734
524,76,NLD,IM,schoolmeester,Vincent Rothuis,2866,W743W,W109B,L253W,W443W,W373B,L45W,U--,U--,U--,U--,U--,4,25.5,25.5,13,0,4,2,2667
525,99,BGR,IM,Athanasios2,Atanas Dimitrov,2816,W315B,W575W,W267B,L4B,W512W,L18W,L94B,U--,U--,U--,U--,4,39,42,17.5,0,4,2,2752
526,140,IRN,FM,Mahan_83,Mahan Ramezani,2803,W276B,W281W,L5B,W516W,W576B,L21B,L188W,U--,U--,U--,U--,4,38,41,17.5,0,4,2,2688
527,141,MNE,CM,Andrei_Skvortsov,Andrei Skvortsov,2706,W431W,W162B,L3W,W447B,W508W,L85W,L199B,U--,U--,U--,U--,4,35.5,37.5,15,0,4,2,2692
528,115,RUS,FM,luckyswitchback,Daniil Plyasunov,2816,W286B,W40W,L163B,W117W,W179B,L6B,L23W,L70B,U--,U--,U--,4,52,57,26,0,4,2,2657
529,533,NIC,FM,EspinoSolano,Jose Nahum Espino Solano,2424,W740B,W139W,W216B,L13B,L170W,W173B,L76W,L259W,U--,U--,U--,4,45,45,18,0,4,3,2731
530,507,SVN,FM,Pakarma,Marko Srebrnic,2610,L486B,W762W,L497B,W189W,W209W,W133B,L37B,L145W,U--,U--,U--,4,44,44,18.5,0,4,1,2673
531,305,VNM,WGM,meoluoi91,Hoang Thi Bao Tram,2589,L654B,W300W,W698B,W116B,L48W,W112B,L49B,L511W,U--,U--,U--,4,40.5,41.5,20,0,4,3,2649
532,396,DNK,FM,Casper,Casper Liu,2546,L514B,W361W,L20W,W362B,L567B,W584W,L112W,W355B,U--,U--,U--,4,35,38,15,0,4,2,2620
