Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
646,102,ARM,FM,Alen_Yeremyann,Alen Yeremyan,2816,W254W,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,0,5,5,0,1,0,0
647,36,IRN,FM,rezamahdavi2008,Reza Mahdavi,2996,W339B,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,0,4,4,0,1,1,0
648,326,FIN,NM,aksuliini1,Aku Salonen,2560,W370B,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,0,4,4,0,1,1,0
649,124,USA,NM,traviscottofficial,Gnel Melikyan,2707,W519W,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,0,4,4,0,1,0,0
650,210,ESP,IM,SuperJesus88,Jesus Dominguez,2637,W381B,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,0,3.5,3.5,0,1,1,0
651,290,NOR,FM,lucasran,Lucas Ranaldi,2612,W389W,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,0,3.5,3.5,0,1,0,0
652,197,IMN,FM,hakanazeri2,Khagan Ahmad,2726,W720W,U--,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,0,0,0,0,1,0,0
653,221,FRA,FM,secretworker2027,Vincent Riff,2652,W552W,L37B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,8,11,3,0,1,0,3000
654,450,ESP,FM,jup1978,Juan Antonio Urbina Perez,2424,L80B,W404W,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,7,10,3,0,1,0,2804
655,557,USA,NM,northridgehawk,Dominique Myers,2447,L107W,W732W,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,7,7,0,0,1,0,2648
656,306,ITA,FM,el_sporco,Giorgio Belli,2517,W367W,L235B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,5.5,9.5,4,0,1,0,2841
657,69,VNM,GM,crescentmoon2411,Nguyen Ngoc Truong Son,2913,W280W,L316B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,5,9.5,5,0,1,0,2629
658,234,RUS,FM,SmirnovAlexandrA,Alexandr A Smirnov,2567,W319B,L501W,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,4.5,8.5,4.5,0,1,1,2947
659,138,FRA,IM,Stouuf,Stéphane Bressac,2640,W727W,L564B,U--,U--,U--,U--,U--,U--,U--,U--,U--,1,3,3,0,0,1,0,2518
660,405,ESP,FM,JG-17,Jose Antonio Garrido Diaz,2626,W46W,L123B,L59W,U--,U--,U--,U--,U--,U--,U--,U--,1,15.5,22,8,0,1,0,2848
661,225,ARM,FM,SaqoChess_Coach,Sargis Manukyan,2619,W205W,L14B,L467B,U--,U--,U--,U--,U--,U--,U--,U--,1,15,21,6,0,1,0,2766
662,251,RUS,FM,Sadykov_Ramil,Рамиль Садыков,2603,W258W,L51W,L483B,U--,U--,U--,U--,U--,U--,U--,U--,1,12.5,17.5,5,0,1,0,2707
663,209,CHN,GM,Juwen,Ju Wenjun,2771,W622W,L6B,L615W,U--,U--,U--,U--,U--,U--,U--,U--,1,11,13,2,0,1,0,2788
664,63,POL,IM,Kacparov,Kacper Drozdowski,2991,W620W,L66B,L529W,U--,U--,U--,U--,U--,U--,U--,U--,1,11,13,2,0,1,0,2591
665,423,FIN,NM,Kielinkei,Patrik Aalto,2492,L33W,W631B,L597W,U--,U--,U--,U--,U--,U--,U--,U--,1,10,12,2,0,1,1,2777
666,501,CAN,NM,EddieUrquhart,Eddie U,2565,W619W,L120W,L606B,U--,U--,U--,U--,U--,U--,U--,U--,1,8.5,10.5,2,0,1,0,2701
667,499,USA,NM,i_like_explosions,Sricharan Pullela,2521,L550W,W734B,L292W,U--,U--,U--,U--,U--,U--,U--,U--,1,8,8,0,0,1,1,2671
668,671,BGD,WCM,Chxss_Khxsbu,Warsia Khusbu,1968,L62B,BYE,L494W,U--,U--,U--,U--,U--,U--,U--,U--,1,7.5,12,0,0,0,0,2600
669,475,POL,FM,NajdorfPlayerc5,Piotr Brzezina,2601,L50W,L47B,W741B,L102W,U--,U--,U--,U--,U--,U--,U--,1,22.5,22.5,0,0,1,1,2773
670,524,ISR,FM,Shivananda1964,Roman Goldin,2296,W65B,L60W,L487B,L192W,U--,U--,U--,U--,U--,U--,U--,1,21,26,7.5,0,1,1,2691
671,494,FRA,GM,Rdeux42,Axel Delorme,2501,L104B,W108W,L368B,L169B,U--,U--,U--,U--,U--,U--,U--,1,20,24,7,0,1,0,2689
672,465,USA,WIM,u19912131712118,Sıla Çağlar,2424,L74W,W762B,L195W,L289W,U--,U--,U--,U--,U--,U--,U--,1,18,18,0,0,1,1,2693
673,553,INT,CM,DmitriiZakurdaev,Dmitry Zacurdajev,2412,W542W,L114B,L248W,L180B,U--,U--,U--,U--,U--,U--,U--,1,17.5,20.5,3,0,1,0,2673
674,447,IND,CM,BashiqChess,Md Bashiq Imrose,2477,L56W,W632B,L215B,L369W,U--,U--,U--,U--,U--,U--,U--,1,17,19,2,0,1,1,2529
675,429,SMR,NM,Road2GM3000,Sean Senft,2318,L469W,L312B,W374W,L284B,U--,U--,U--,U--,U--,U--,U--,1,15.5,19.5,4,0,1,0,2468
676,334,CHE,NM,Train_Your_Dragon,Rishabh Chandrashekhar Gokhale,2498,W425B,L98B,L128W,L426W,U--,U--,U--,U--,U--,U--,U--,1,15.5,17.5,2,0,1,1,2713
677,417,IND,IM,Triumphmate,Dushyant Sharma,2564,L182W,W424B,L142B,L401W,U--,U--,U--,U--,U--,U--,U--,1,15.5,17.5,2,0,1,1,2611
678,1,TUR,CM,hsd2016,Huseyin Said Deveci,2450,U--,L46B,W453W,L103W,U--,U--,U--,U--,U--,U--,U--,1,15,15,0,0,1,0,2796
679,583,CAN,CM,ChessFanNM,Roman Jiganchine,2337,L601W,W282W,L527B,L620W,U--,U--,U--,U--,U--,U--,U--,1,10.5,12.5,5,0,1,0,2565
680,65,NOR,FM,VM2027,Sergey Eliseev,2280,U--,W729W,L110W,L531B,U--,U--,U--,U--,U--,U--,U--,1,10.5,10.5,0,0,1,0,2570
681,85,IRN,FM,Philosopherrr,Aref Vasli,2600,U--,W421B,L274W,L358B,U--,U--,U--,U--,U--,U--,U--,1,9,11,2,0,1,1,2358
682,31,POL,FM,Marcin,Marcin Molenda,2534,U--,W614W,L331B,L382W,U--,U--,U--,U--,U--,U--,U--,1,8,10,2,0,1,0,2435
683,678,LKA,CM,KRSilva,Kevin Ranidu Silva,2346,U--,U--,W747W,L150W,U--,U--,U--,U--,U--,U--,U--,1,6.5,6.5,0,0,1,0,2609
684,477,ARE,FM,StoreySniper,Charles Storey,2523,L123W,L178B,W332W,L166B,L302B,U--,U--,U--,U--,U--,U--,1,23.5,28,4.5,0,1,0,2633
685,569,DEU,FM,drdaro,Donát Daróczi,2277,L596W,L143W,W297B,L329W,L565B,U--,U--,U--,U--,U--,U--,1,19,21,5,0,1,1,2552
686,662,BRA,NM,TreinadorBR,Nery Junior José Antônio,2332,U--,U--,U--,W421B,L201W,U--,U--,U--,U--,U--,U--,1,6,8,2,0,1,1,2536
687,670,ARG,GM,PabloZarnicki,Pablo Zarnicki,2641,U--,U--,U--,W374B,L334W,U--,U--,U--,U--,U--,U--,1,4.5,8.5,4,0,1,1,2352
688,185,JAM,WCM,InadaC,Adani Clarke,2288,U--,L131W,L517B,W324W,L294B,L359W,U--,U--,U--,U--,U--,1,20,24,4.5,0,1,0,2466
689,588,BRA,NM,MasterofMasters2006,Henrique Barbosa Veloso,2171,U--,U--,U--,U--,U--,W452B,U--,U--,U--,U--,U--,1,0,0,0,0,1,1,0
