Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,55,AZE,GM,vugarrasulov,Vugar Rasulov,2948,W352W,W270B,W399W,W67B,W19B,D14W,D4W,W23B,W385B,W7W,D2B,9.5,76,78,64.25,0,8,5,2932
2,23,VNM,GM,wonderfultime,Tuan Minh Le,3049,W125B,W122W,W495B,W417W,W403W,L22B,W59W,W38B,W11W,W3B,D1W,9.5,71.5,73.5,60.75,0,9,4,2884
3,25,USA,GM,OparinGrigoriy,Grigoriy Oparin,3007,W139B,W144W,W496B,W386W,D120B,W415B,W35W,W33B,W10W,L2W,W12B,9.5,71,73,60.5,0,9,5,2890
4,2,TZA,GM,nihalsarin,Nihal Sarin,3179,W142W,L42B,W549W,W241B,W456W,W48W,D1B,W34W,W22B,W18W,W15B,9.5,70.5,71.5,59.25,0,9,3,2802
5,56,ESP,GM,tptagain,David Anton Guijarro,2942,W175B,W444W,W308B,W141W,W9B,L6W,W21W,L20B,W89W,W56B,W19W,9,71,74.5,57.5,0,9,4,2857
6,14,SRB,GM,mishanick,Aleksei Sarana,3137,W506W,W411B,W416W,W463B,W387W,W5B,W89W,L10W,L7B,W388W,W27B,9,67.5,69.5,52,0,9,4,2863
7,29,RUS,GM,shimastream,Aleksandr Shimanov,3004,W587B,W537W,W47B,L415W,W121W,W73B,W37W,W89B,W6W,L1B,W25B,9,66.5,66.5,52.5,0,9,5,2838
8,48,IRN,GM,Parhamov,Parham Maghsoodloo,3072,W420B,W163W,W486B,W461W,L14B,W60B,L392W,W68B,W31W,W58W,W23B,9,64.5,67,52.5,0,9,5,2829
9,22,RUS,GM,dropstoneDP,David Paravyan,3068,W501W,W502B,W66W,W36B,L5W,D416W,W123B,W398W,D25B,W386B,W20W,9,64.5,66.5,51.25,0,8,4,2858
10,3,RUS,GM,Sibelephant,Vladislav Artemiev,3071,W244B,W94W,W41B,D24W,W405W,W90B,W22W,W6B,L3B,D15W,D13B,8.5,77,81.5,59.5,0,7,4,2908
11,1,USA,GM,Hikaru,Hikaru Nakamura,3303,W176B,W121W,W26B,D35W,W39B,L33W,W404B,W24W,L2B,W41W,W44W,8.5,74.5,79.5,58.75,0,8,4,2870
12,40,SVN,GM,Anton_Demchenko,Anton Demchenko,2891,W466W,W133B,L89W,W172B,W111W,W27B,W16B,W392W,D18B,W14B,L3W,8.5,73.5,76.5,56.25,0,8,5,2870
13,20,IRN,GM,amintabatabaei,Amin Tabatabaei,2963,W219W,W132B,D123W,W62B,W45W,W120B,D15W,L22B,W390B,W28W,D10W,8.5,71.5,76.5,57,0,7,4,2862
14,10,BLR,GM,DenLaz,Denis Lazavik,3079,W527W,W212B,W398W,W390B,W8W,D1B,L33B,W397W,W35B,L12W,W34W,8.5,71.5,73.5,52.75,0,8,3,2876
15,34,UZB,GM,Shield12,Shamsiddin Vokhidov,2991,W588W,W187B,W456W,W38B,D415W,W40B,D13B,W56W,W20W,D10B,L4W,8.5,69.5,69.5,49.25,0,7,3,2874
16,4,FRA,GM,Firouzja2003,Alireza Firouzja,3155,W143W,W79B,W397W,L403B,W126W,W390B,L12W,W40W,D58B,W62W,W33B,8.5,68,73,56,0,8,3,2827
17,13,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3090,W124B,W64W,D58B,W406W,W427B,L35W,W62W,W396B,L33W,W47B,W39W,8.5,67.5,71.5,53,0,8,4,2836
18,15,INT,GM,artooon,Pranesh M,3018,W423B,W70W,L415B,W57W,W439B,W410W,W403W,W55B,D12W,L4B,W40W,8.5,65.5,69.5,51.25,0,8,3,2828
19,16,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3005,W76W,W538B,W93W,W28B,L1W,W386B,L55W,W37B,W30W,W22W,L5B,8,77.5,78.5,53,0,8,4,2850
20,11,USA,GM,HansOnTwitch,Hans Niemann,3202,W156B,D51W,W92B,W129W,D34B,W41W,W408B,W5W,L15B,W387W,L9B,8,74.5,79.5,54.5,0,7,3,2846
21,9,USA,GM,GMWSO,Wesley So,3131,W452B,D92W,D51B,W133W,W77B,W26W,L5B,W36W,L388B,W101W,W35B,8,72.5,76,53,0,7,3,2775
22,88,IND,GM,nrvisakh,Visakh NR,2914,W301B,W202W,W208W,W393B,W407W,W2W,L10B,W13W,L4W,L19B,W68B,8,72,75.5,49.5,0,8,3,2896
23,8,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3067,W324W,L60B,W131W,W471B,W68W,W28B,W29W,L1W,W394B,W55B,L8W,8,70.5,73.5,48,0,8,4,2808
24,62,RUS,IM,MatthewG-p4p,Matvey Galchenko,2872,W195B,W167W,W505B,D10B,L40W,W102B,W43W,L11B,D134W,W60W,W73B,8,69,71,47.75,0,7,4,2806
25,6,DEU,GM,Msb2,Matthias Bluebaum,3052,W220W,W344B,W410W,W30W,L391B,D34W,W416B,W192B,D9W,W33B,L7W,8,67,69.5,46.25,0,7,4,2873
26,93,IND,GM,nrvignesh,Vignesh N.R,2792,W539W,W449B,L11W,W171B,W124W,L21B,W71W,D101B,W63W,D49B,W84W,8,66.5,67.5,44,0,7,2,2764
27,132,FRA,IM,kingofthenil,Mahel Boyer,2680,W170W,L208B,W515W,W125B,W49W,L12W,W172B,W407B,W391W,W29B,L6W,8,66,68,45.5,0,8,4,2785
28,78,ITA,GM,moro182,Luca Moroni Jr,2809,W104B,W112W,W409B,L19W,W323B,L23W,W414B,W200W,W395W,L13B,W56W,8,65.5,68.5,44,0,8,4,2781
29,41,DEU,GM,frederiksvane,Frederik Svane,2918,W240B,W465W,L126B,W167W,W95B,W432W,L23B,W42B,W38W,L27W,W58B,8,64.5,67.5,45.5,0,8,4,2745
30,66,USA,GM,TigrVShlyape,Gata Kamsky,2934,W269B,W249W,W130W,L25B,L404W,W203B,W69W,W122B,L19B,W121W,W72B,8,62.5,66.5,45.5,0,8,4,2730
31,109,AUT,GM,ValentinDragnev,Valentin Dragnev,2779,L165W,W236B,W175W,W460B,W196B,W429W,W44B,L385W,L8B,W64W,W55W,8,62.5,65.5,44,0,8,4,2743
32,39,ESP,GM,Fandorine,Maksim Chigaev,2963,W204B,W199W,W442B,L89W,L56W,L127B,W250W,W157B,W69B,W77W,W66B,8,61,65,45.5,0,8,5,2661
33,37,ARM,GM,Sargsyan_Shant,Shant Sargsyan,2906,D239B,W186W,W531B,W43W,W58B,W11B,W14W,L3W,W17B,L25W,L16W,7.5,76,77.5,49.25,0,7,4,2929
34,73,RUS,FM,Bauman_Guy,Konstantin Popov,2874,W105W,D110B,W174W,W418B,D20W,D25B,W53W,L4B,W51W,W106W,L14B,7.5,74,78.5,49.25,0,6,1,2822
35,61,CZE,GM,FormerProdigy,David Navara,3022,W511W,W485B,W52W,D11B,W400W,W17B,L3B,W75W,L14W,W57B,L21W,7.5,72.5,74.5,44.25,0,7,3,2890
36,83,IDN,NM,qx4z,Zacky Dhiaulhaq,2813,W503W,W401B,W165B,L9W,D108B,D74W,W129W,L21B,W127W,D92B,W102W,7.5,66.5,68.5,41.5,0,6,2,2703
37,91,IDN,FM,Rurep26,Masruri Rahman,2823,D197W,W272B,W424W,W162B,W396W,D44W,L7B,L19W,W81B,W94W,D54B,7.5,66,70,43,0,6,3,2715
38,124,IND,IM,blitzking1729,Srihari L R,2696,W285W,W412B,W458W,L15W,W168B,W395B,W407W,L2W,L29B,W87B,D46W,7.5,66,69,39.25,0,7,4,2805
