Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,13,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3005,W157W,W51B,W109W,W36B,W321W,W31B,W29B,D3W,W17W,D2B,W12W,10,77.5,83,73.75,0,9,4,2894
2,4,VNM,GM,wonderfultime,Tuan Minh Le,3049,W128B,W146W,W100B,L210W,W361W,W107B,W330W,W30B,W18W,D1W,W6B,9.5,67.5,71,61.5,0,9,5,2842
3,3,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3090,W123W,W305B,W40W,D14B,W326W,W330B,W11W,D1B,D6W,D8B,W7W,9,76.5,77.5,59.75,0,7,2,2929
4,22,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2963,W287B,W344W,W407B,L18W,W338B,W23B,L5W,W104W,W36B,W22W,W19B,9,66,68,51,0,9,6,2796
5,62,FRA,IM,scarabee43,Marco Materia,2814,W124B,W388W,L108W,W284B,W89B,W350W,W4B,L6W,W102W,W26B,W16B,9,65,67,52.5,0,9,6,2710
6,11,SRB,GM,mishanick,Aleksei Sarana,3137,W267W,W363B,W54W,L321B,W47W,W40B,W65W,W5B,D3B,W17W,L2W,8.5,74.5,77.5,56.5,0,8,3,2869
7,6,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3067,W118B,W55W,L53B,W382W,W109B,W80W,D34W,W56B,W9W,W11W,L3B,8.5,73,76,56.25,0,8,3,2830
8,10,USA,GM,jefferyx,Jeffery Xiong,2985,W175B,W386W,W24B,W78W,D10B,W210W,D20W,D39B,W100W,D3W,D13B,8.5,72,75,54.25,0,6,2,2871
9,25,PER,GM,Sychev_on_YouTube,Klementy Sychev,2889,W209W,W57B,W28W,L241W,D33B,W91W,W49W,W76B,L7B,W78W,W18B,8.5,70,74,57.75,0,8,3,2775
10,49,USA,GM,Shankland,Sam Shankland,2947,W513W,W84B,W139B,W374W,D8W,W12B,D320W,D29B,L19B,W46W,W34B,8.5,70,70,50.25,0,7,4,2838
11,12,RUS,GM,dropstoneDP,David Paravyan,3068,W121B,W140W,W325B,W332W,D210B,W26W,L3B,W78W,W29W,L7B,W20W,8.5,69.5,74,54.25,0,8,2,2850
12,7,SVN,GM,Bigfish1995,Vladimir Fedoseev,3201,D141W,W263B,W400W,W76W,W362B,L10W,W52W,W34B,W39W,W320B,L1B,8.5,66.5,69,47.75,0,8,4,2831
13,36,IND,GM,Harsha_Bharathakoti,Harsha Bharathakoti,2920,W180B,W452W,D339B,W63W,D77B,L104W,W37W,W47B,W71B,W52W,D8W,8.5,66,67,51.25,0,7,3,2743
14,45,ISR,GM,Nitzan_Steinberg,Nitzan Steinberg,2862,W106W,W173B,W291W,D3W,L339B,W119W,W87B,L320B,W324W,W35B,W41W,8.5,65,67,50.5,0,8,3,2770
15,88,UKR,GM,sokidze,Ihor Samunenkov,2856,L300B,L467W,W223B,W468W,W150B,W62W,W133B,D142W,W45W,W29B,W31B,8.5,52.5,53.5,48.75,0,8,5,2621
16,14,UZB,GM,Shield12,Shamsiddin Vokhidov,2991,W345B,W200W,W59B,W49W,W18B,L29W,W81B,W321W,L320W,W21B,L5W,8,72,76.5,52.5,0,8,5,2807
17,2,RUS,GM,lachesisQ,Ian Nepomniachtchi,3145,W385B,W37W,L49B,W404B,W56W,W324W,W50B,W31W,L1B,L6B,W52W,8,70,72.5,47,0,8,3,2831
