Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,5,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3038,W111B,W331W,W343B,W366W,D317B,D15W,W99B,W18W,W6B,D3W,W5W,9.5,71.5,74.5,62.25,0,8,4,2883
2,6,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3000,W220W,W408B,W51W,W99B,D20W,W69B,W46B,L6W,W318B,W37W,W12B,9.5,70,72,59,0,9,6,2832
3,7,ARM,GM,Njal28,Aram Hakobyan,2966,W457B,W445W,W280B,W364W,L16B,W31W,W325W,W19B,W4W,D1B,W9W,9.5,62,62.5,49.75,0,9,3,2842
4,11,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3045,W160B,D22W,W117W,W33B,W45W,W70B,D14B,W7W,L3B,W19W,W27B,9,77.5,83,65.5,0,8,4,2838
5,16,UKR,GM,GOGIEFF,Anton Korobov,3008,W100W,W347B,W44W,W31W,W13B,D46W,D12B,W319W,W317B,W6W,L1B,9,75,79,62,0,8,3,2888
6,8,FRA,GM,Firouzja2003,Alireza Firouzja,3112,W109W,W98B,W396W,W327W,W339B,W16W,W319B,W2B,L1W,L5B,W15W,9,71.5,73.5,55,0,9,4,2884
7,43,PRY,GM,chito89,Axel Bachmann,2825,W404B,W136W,W335B,W75W,L319W,W66B,W72W,L4B,W41B,W317W,W32W,9,67,69,54,0,9,4,2761
8,37,RUS,GM,Vladimir_Zakhartsov,Vladimir Zakhartsov,2925,W208B,W401W,W76B,D88W,W326B,L12B,W336W,W33B,D14W,W25W,W29B,9,66.5,68.5,53.25,0,8,5,2793
9,35,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2901,W156B,W140W,D163B,W388W,L70B,W22W,W49W,W34B,W32W,W14B,L3B,8.5,70,72.5,54,0,8,3,2795
10,41,ITA,GM,moro182,Luca Moroni Jr,2868,W108B,W196W,L346B,W136W,W98B,W350W,W329W,D74B,L12B,W73W,W39W,8.5,59.5,63.5,48.25,0,8,2,2675
11,25,DEU,GM,GM_dmitrij,Dmitrij Kollars,2907,D359B,L418W,W165B,W116W,D354B,D54W,W103B,W332W,W321B,W33W,W37B,8.5,57,58.5,49.75,0,7,4,2602
12,4,DEU,GM,rasmussvane,Rasmus Svane,2972,D127W,W260B,W363B,W318W,W52B,W8W,D5W,D16B,W10W,D15B,L2W,8,75,78,53,0,6,3,2823
13,17,IRN,FM,Sina_Movahed,Sina Movahed,2887,W40B,W56W,W409B,W35W,L5W,L71B,W38W,W47W,W26B,L27W,W62B,8,75,77,53.5,0,8,4,2750
