Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
32,62,RUS,IM,Korchmar_Vasiliy,Vasiliy Korchmar,2711,W237B,W185W,L3B,W86W,W254B,L11W,L46B,W52W,W78B,W56W,L20W,7,67.5,70.5,38,0,7,3,2697
33,64,IND,FM,Aradhya2000,Aradhya Garg,2690,W161B,W101W,D26W,W136B,L2B,W134W,W27B,L15W,W237B,L20B,D65W,7,67,71,38.5,0,6,4,2753
34,76,TKM,GM,gahryman,Meilis Annaberdiev,2651,D107B,W267W,W316B,D5W,W119W,W17B,L11B,L12W,W80W,L46B,W78W,7,66.5,68,36.75,0,6,2,2705
35,80,USA,FM,NateSolon,Nate Solon,2686,W184W,L69B,W148W,W185B,W92W,L14B,L21B,W75W,W113B,W65W,L13W,7,61.5,64.5,34,0,7,2,2621
36,2,IND,GM,GHANDEEVAM2003,Arjun Erigaisi,3074,W89W,L38B,L282W,W141W,W205B,W96B,W245W,W239B,W20W,L2B,L12B,7,61,63,35.5,0,7,3,2685
37,40,SRB,GM,DuleMudule,Igor Miladinovic,2852,W327W,W286B,W180W,L3W,W44B,L233B,W252W,W51B,L16B,W72W,L15B,7,60.5,61.5,30.5,0,7,3,2741
38,101,RUS,GM,Goryachkina,Aleksandra Goryachkina,2683,W345B,W36W,L27W,W203B,W187B,L13W,L12W,D62B,W138B,W238W,D48B,7,59.5,60,29.25,0,6,4,2738
39,119,MEX,NM,RodokininEV,Rodrigo Espinoza Villanueva,2649,W109B,L4W,L274B,W277W,W140B,W88W,L31W,D92B,D70W,W122B,W72B,7,58.5,61.5,36.25,0,6,4,2525
40,115,RUS,IM,karinachess1,Karina Ambartsumova,2633,W169B,L8B,W191W,W142B,L54W,W159W,W251B,W65W,L17B,L31W,W91W,7,58.5,61.5,31.5,0,7,3,2669
41,67,USA,IM,IMRosen,Eric Rosen,2726,W106W,L113B,W290W,D281B,W138B,W21W,L231W,D80B,W90B,W77W,L19B,7,58,60,36.25,0,6,2,2641
42,90,USA,IM,GothamChess,Levy Rozman,2747,W340W,W168B,L43B,W89W,L15B,W116W,L16B,L112W,W135B,W113W,W75W,7,58,59,31,0,7,2,2625
43,22,DEU,GM,rasmussvane,Rasmus Svane,2973,W225W,W305B,W42W,W251B,L235B,W248W,L233B,W129W,L6B,W27W,L18W,7,58,58,29.5,0,7,2,2779
44,99,RUS,NM,vladgoncharov,Vladislav Gontcharov,2646,L238B,W340W,W141B,W83W,L37W,L85B,W120W,W255W,W71B,W234W,L23B,7,57.5,58.5,32.5,0,7,2,2611
45,149,UKR,IM,zajka-molotok,Yuliia Osmak,2494,W212B,L13B,W123W,L31W,L88B,W277W,W153B,W253B,W49W,L50B,W82W,7,57,58,30,0,7,3,2570
46,136,POL,FM,djano,Dawid Janaszak,2709,W307W,L189B,W250W,W292W,W193B,L26B,W32W,W73B,L19B,W34W,L22B,7,55.5,57.5,31,0,7,2,2787
47,116,UKR,GM,temiksmozg,Artem Omelja,2617,D279W,W172B,W259W,L18W,W263B,L25W,L98B,W99W,W97B,W92B,D60W,7,55,57.5,32,0,6,4,2545
48,53,POL,IM,DamianoLew95,Damian Lewtak,2673,D298W,L289B,W132W,W74B,W261W,L51W,L247B,W143B,W81W,W59B,D38W,7,52,54,36,0,6,3,2528
49,71,CAN,GM,KNVB,Aman Hambleton,2831,W124W,L247B,W327W,L81B,L97W,W160B,W188W,W118B,L45B,W112W,W80B,7,51,52,29,0,7,3,2498
50,79,MDA,GM,Sic_Transit_GM,Alexey Khruschiov,2657,U--,W329B,W99W,D262B,D121W,W185B,W157W,L19W,W241B,W45W,L21W,7,49,50,29.75,0,6,3,2578
51,100,INT,IM,bazar-wokzal,Nikolai Vlassov,2604,W137W,U--,D273B,W316W,W271W,W48B,D239B,L37W,W242W,W73B,L14B,7,48.5,50,31,0,6,2,2635
52,124,INT,FM,Likvidator228,Valiantsin Yezhel,2612,W153W,L24W,D294B,L267W,D304B,W128B,W273W,L32B,W161W,W243B,W84W,7,46.5,48.5,29,0,6,2,2514
53,75,GEO,IM,Meri-Arabidze,Meri Arabidze,2745,L293W,U--,W139B,W106W,W203B,L113W,W185B,W257W,W112B,L22W,W77B,7,43,45,30,0,7,5,2533
54,50,POL,GM,Byniolus,Zbigniew Pakleza,2818,W105B,L261W,W275B,W75W,W40B,L7B,W78W,D237W,W85B,L24W,L29B,6.5,63,66,36.25,0,6,4,2639
55,68,HUN,IM,CSB7,Balázs Csonka,2740,W149B,D120W,W121B,L23B,D112W,W62W,D85B,L96W,W63B,W98W,L27B,6.5,60,64.5,36,0,5,3,2595
56,106,ESP,FM,MKlose11,Alberto Martin Fuentes,2656,W250W,L3W,L83B,W128W,L105B,W274W,W122B,W114B,W60W,L32B,D70W,6.5,59.5,62.5,31.75,0,6,2,2552
57,83,USA,FM,ChessSwole,Derek Wu,2614,W277B,W142W,D230W,L73B,W273W,W259B,W244W,L2W,L24B,W61B,L26W,6.5,59.5,62.5,28.5,0,6,3,2773
58,97,POL,FM,Hilary46,,2740,W170B,L136W,W304B,W114W,L20W,W240B,L17W,W91W,L18B,W242W,D62B,6.5,59.5,61.5,29.75,0,6,3,2582
59,118,UKR,CM,DanylaBagrov,Vlad Lymar,2559,W301W,L230B,W100W,W153B,L71W,W161W,L60B,W157B,D28W,L48W,W97B,6.5,57,59,28.75,0,6,3,2591
60,55,POL,GM,krzyzan94,Marcin Krzyżanowski,2770,W159W,D245B,W143W,L258B,W262W,D78B,W59W,L16W,L56B,W241W,D47B,6.5,55.5,59,32.25,0,5,0,2592
61,177,BRA,FM,Nf3c5,Iung Alicio de O. Pinheiro,2528,L26W,W309B,L15B,W337W,W171B,D64W,W260B,W246W,L21B,L57W,W98B,6.5,55.5,56.5,23.25,0,6,4,2660
62,164,USA,NM,StellarChess,Sherif Khater,2551,W173W,W29W,L244B,L193B,W154W,L55B,W271W,D38W,D64B,W79W,D58W,6.5,55,58,34,0,5,0,2607
63,160,RUS,FM,GlavkonVVS,SHAPIRO VIKTOR,2566,W144W,L31B,W171W,L28W,L250B,D154B,W100W,W136B,L55W,W102B,W238W,6.5,54.5,58,31,0,6,2,2438
64,81,UKR,IM,Zavgorodniy_Sergiy,Sergiy Zavgorodniy,2606,L258B,W130W,W135B,L101W,W200W,D61B,D114W,D81B,D62W,D68B,W96W,6.5,54.5,56.5,32.25,0,4,1,2473
65,39,ARG,FM,FaustinoOro,Faustino Oro,2863,L290B,W145W,W331B,W286W,W252B,W82B,L5W,L40B,W96W,L35B,D33B,6.5,54.5,55.5,27,0,6,3,2632
66,117,UKR,IM,TrenerChos,Alexey Chos,2598,W177B,L9W,W124B,W154W,L251W,W267B,L234B,W161W,L31B,W120W,D69W,6.5,53.5,56.5,27.75,0,6,3,2575
67,87,INT,FM,Alexei_Gubajdullin,Alexei Gubajdullin,2616,D163B,W344W,L23W,W285B,W125W,L239W,L96B,L74W,W155B,W88B,W104W,6.5,51,51.5,25.5,0,6,3,2522
