Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,20,ARM,GM,Njal28,Aram Hakobyan,2966,W327W,W160B,W27W,W284B,W18W,D16B,W8B,W2W,W9W,D4B,D3W,9.5,76.5,79,66,0,8,3,2897
2,32,AZE,GM,LastGladiator1,Aydin Suleymanli,2916,D183W,W399B,W126B,W326W,W255B,W15W,W254W,L1B,W253B,W16W,W8B,9.5,65.5,66.5,55,0,9,5,2912
3,23,ARM,GM,Sargsyan_Shant,Shant Sargsyan,2990,W273B,W212W,W17B,L18W,W88B,W25W,W266B,W253W,W12B,D15W,D1B,9,72,75,58.25,0,8,5,2873
4,14,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3011,W156W,W390B,W85W,L38B,W283W,W161B,W29W,W40B,W24W,D1W,D5B,9,66.5,67.5,51.25,0,8,3,2827
5,39,URY,,anon6121824,,2898,W197B,W200W,W67B,L16B,W311W,W278W,D10B,W259W,W30W,W9B,D4W,9,64.5,67.5,50.75,0,8,3,2862
6,7,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3000,W330B,W385W,W19B,L260W,L25B,W110W,W88B,W17W,W256W,W40B,W20W,9,64,65,52,0,9,4,2749
7,12,RUS,GM,Grischuk,Alexander Grischuk,3029,W247W,W345B,W343W,W298B,D260B,D29W,W51W,L24B,W19W,W39W,W15B,9,58,58,44,0,8,3,2863
8,4,USA,GM,FabianoCaruana,Fabiano Caruana,3125,W32W,D49B,W270W,W54B,W34W,W260B,L1W,W261B,W26W,W28B,L2W,8.5,74,78.5,56,0,8,4,2867
9,13,SRB,GM,mishanick,Aleksei Sarana,3016,W342B,W257W,W42B,W281W,W38B,W28W,D253B,W26W,L1B,L5W,W29B,8.5,72,74,52,0,8,4,2894
10,15,TUR,GM,SantoBlue,Vahap Sanal,2916,W383B,W68W,W161B,L256W,W86B,W27W,D5W,D38B,W21W,D29W,W31B,8.5,69.5,71,53.25,0,7,4,2786
11,30,HUN,GM,sergiochess83,Sergey Grigoriants,2905,W79W,W337B,D263W,L66B,D290W,W69B,W84B,D41W,W70B,W35W,W30W,8.5,63.5,66,51.25,0,7,4,2689
12,1,USA,GM,DanielNaroditsky,Daniel Naroditsky,3134,L277B,W176W,W46B,W226W,W279B,W85W,W252W,D28B,L3W,W48W,W24B,8.5,63,65,48.25,0,8,3,2762
13,36,RUS,CM,stollenmonster,Egor Baskakov,2849,W141W,W131B,D275W,L274B,W71B,L271W,W276W,W67B,W41W,W68W,W28B,8.5,57.5,62,50.75,0,8,4,2661
14,189,FRA,GM,Marcan2b,Marc-Andria Maurizzi,2438,W223B,L161B,W403W,W346B,W289W,L266W,W279B,W42W,W38W,D24B,W26W,8.5,50.5,51.5,38.25,0,8,3,2736
15,3,FRA,GM,Firouzja2003,Alireza Firouzja,3112,W73B,W23W,W65B,W51W,D252W,L2B,W48W,W39B,W254W,D3B,L7W,8,76.5,83,56.5,0,7,3,2879
16,9,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3038,W285B,W116W,W310B,W5W,W40B,D1W,L26B,W260W,D252W,L2B,W25W,8,72,75,49.75,0,7,3,2862
17,79,GRC,FM,AlexPapasimakopoulos,Alexandros Papasimakopoulos,2725,W176B,W139W,L3W,W114B,W43W,L96W,W32B,L6B,W126W,W52B,W39W,8,68,72,48,0,8,4,2694
18,56,POL,IM,nocnypako,Marcin Sieciechowicz,2661,W127W,W113B,W114W,W3B,L1B,W277W,D96B,L254B,W119W,D22W,W48B,8,67.5,71.5,48.5,0,7,3,2776
19,62,POL,GM,Byniolus,Zbigniew Pakleza,2779,W53W,W91B,L6W,W344B,W212W,L127B,W89W,W92B,L7B,W257W,W56B,8,64,66,43,0,8,4,2678
20,75,UKR,FM,Ol_Bilych,Olexiy Bilych,2780,W180B,L219W,W44B,W57W,L127B,W73W,W277B,W62W,W96B,W252W,L6B,8,62,64.5,48,0,8,4,2685
21,77,INT,FM,bascheyaro,Roman Yanchenko,2711,W184B,W44W,D26W,L268B,W137W,D126B,W287B,W127W,L10B,W89W,W43W,8,59.5,63.5,44.25,0,7,2,2669
22,18,AZE,GM,ChessLover0108,Mahammad Muradli,2896,D112W,L232B,D195W,W234B,W173B,W131W,W288B,D25W,W43W,D18B,W45W,8,53,54.5,40.75,0,6,3,2524
23,118,PRK,FM,DefiantChair,,2631,W239W,L15B,W389W,W333B,W199B,L40W,L148W,W91B,W139B,W85W,W38B,8,51,52,32,0,8,5,2716
24,22,ARM,GM,Sam_ChessMood,Samvel Ter-Sahakyan,2846,L47W,W166B,W244B,W110W,W84W,W66B,W65W,W7W,L4B,D14W,L12W,7.5,71,72,43.25,0,7,3,2755
25,91,HUN,GM,ChessSkool,Peter Prohaszka,2766,W425B,W400W,W64W,L252B,W6W,L3B,W46W,D22B,W34W,W77B,L16B,7.5,69.5,69.5,41.5,0,7,2,2815
26,19,PER,IM,MITerryble,Renato Terry,2946,W305B,W287W,D21B,W263W,W274B,W256W,W16W,L9B,L8B,W33W,L14B,7.5,69,72.5,43,0,7,2,2801
27,78,GRC,GM,Nikolakis2014,Stelios Halkias,2789,W75W,W357B,L1B,W58W,W171B,L10B,W55W,W111W,L39B,D32W,W76B,7.5,69,71,42.25,0,7,3,2647
28,21,USA,IM,Mykola-Bortnyk,Mykola Bortnyk,3002,W414B,W313W,W87B,W266W,W41B,L9B,W264W,D12W,W255B,L8W,L13W,7.5,66.5,66.5,36.75,0,7,4,2876
29,37,USA,GM,TigrVShlyape,Gata Kamsky,2970,W366B,W115W,W286B,D259W,W268W,D7B,L4B,W129W,W257W,D10B,L9W,7.5,65.5,67.5,38.5,0,6,2,2872
30,10,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3038,W225W,D71B,W93W,W70W,L269B,W263W,W271B,W31W,L5B,W65W,L11B,7.5,65,67,41.75,0,7,1,2750
31,41,BRA,GM,GMKrikor,Krikor Sevag Mekhitarian,2783,W80B,D126W,W338B,W303W,W259B,L254B,W117W,L30B,W37W,W71B,L10W,7.5,62.5,65,40,0,7,4,2759
32,198,AZE,FM,HajiyevKanan,Hajiyev Kanan,2589,L8B,W370W,W205B,W67W,W62W,L264B,L17W,W288W,W263B,D27B,W70W,7.5,61,63,37.75,0,7,2,2707
33,63,ESP,GM,Miguelito,Miguel Santos Ruiz,2751,W198B,W58W,L259B,W92W,L56B,D294W,W115B,W270W,W78B,L26B,W66W,7.5,60,63.5,41.5,0,7,3,2676
34,27,CAN,GM,hansen,Eric Hansen,2852,W99B,W90W,D190B,W329W,L8B,W300W,W270B,L255W,L25B,W119B,W55W,7.5,59,61.5,37,0,7,3,2737
35,85,IRN,IM,AradNazari,Arad Nazari,2745,W328B,W398W,L252B,D133B,W118W,L259W,W112B,W117W,W64W,L11B,W68W,7.5,58,59,35.5,0,7,2,2691
36,70,CAN,IM,c63_amg,people know me,2854,W174W,W100B,D96B,L255W,W337B,L274W,W303B,L119W,W122B,W117W,W71B,7.5,53.5,56,36.5,0,7,5,2659
37,96,SWE,IM,eagleclaw07,Kaan Kucuksari,2662,D307W,L221B,W192W,W74B,W128B,W298W,L259B,W273W,L31B,W112B,W65W,7.5,51.5,54,36.75,0,7,3,2627
38,43,SRB,GM,Beca95,Aleksandar Indjic,2969,W389B,W344W,W271B,W4W,L9W,D117B,W78W,D10W,L14B,W86B,L23W,7,67,68,36,0,6,3,2728
39,24,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2944,W122W,W340B,W279W,L264B,W72W,W41W,W257B,L15W,W27W,L7B,L17B,7,66.5,69,39,0,7,2,2763
40,29,RUS,GM,VladimirKramnik,Vladimir Kramnik,2987,W74B,W110W,W300B,W277W,L16W,W23B,W127W,L4W,W59B,L6W,U--,7,62,65.5,39.5,0,7,4,2755
