Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,1,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3005,W209B,W314W,W282B,D10W,D223B,W239W,W3W,W17B,W7W,W20B,D2W,9.5,63,63,51.5,0,8,4,2933
2,5,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3067,W356B,W92W,W42B,W216W,D21B,W23W,L7B,W223W,W11B,W8W,D1B,9,75,75,58,0,8,3,2913
3,8,UKR,GM,Baku_Boulevard,Rauf Mamedov,3028,W80W,W222B,W40W,W262B,D8W,W223W,L1B,W10W,W35B,D7B,W15W,9,74.5,77.5,59.5,0,8,3,2888
4,4,DEU,GM,Msb2,Matthias Bluebaum,3052,W33W,W277B,D167W,W237B,W251W,D9W,W19B,D5W,D20B,W217W,W7B,9,67.5,70,55.75,0,7,4,2878
5,34,RUS,FM,Bauman_Guy,Konstantin Popov,2874,W373W,W315B,W136W,L20B,W53W,W156B,W14W,D4B,W219W,D15B,W18W,9,62.5,62.5,46.5,0,8,2,2832
6,11,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3089,W173B,W177W,W274B,L24W,W244B,D22W,W222B,D221W,W32B,W216B,W17W,9,59.5,62,47.75,0,8,6,2778
7,2,USA,GM,FabianoCaruana,Fabiano Caruana,3052,W374W,W326B,W16W,W221B,W31W,W14B,W2W,W15B,L1B,D3W,L4W,8.5,75,75,52,0,8,4,2952
8,24,ESP,GM,tptagain,David Anton Guijarro,2942,W72W,W52B,W252W,W38B,D3B,D13W,W68W,D35B,W9W,L2B,W20W,8.5,74.5,78,57,0,7,2,2861
9,7,SRB,GM,mishanick,Aleksei Sarana,3137,W210B,W63W,W25B,W241W,W19W,D4B,L15B,W21W,L8B,W26W,W23B,8.5,74,74,53,0,8,3,2866
