Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3282,W83W,W82B,W41W,W259B,W47W,W258B,D13W,W12W,W3B,W17W,W6B,10.5,73,78.5,74.5,0,10,5,2983
2,2,USA,GM,Hikaru,Hikaru Nakamura,3303,W122B,W15W,W113B,W260W,D3B,D5W,D8B,D14W,W11B,W24W,W17B,9,78,83.5,66.25,0,7,4,2930
3,22,USA,GM,jefferyx,Jeffery Xiong,2985,W132B,W365W,W11B,W298W,D2W,W278B,W35W,W13B,L1W,D4B,W16W,9,72,73,53.5,0,8,4,3007
4,70,SRB,GM,DuleMudule,Igor Miladinovic,2852,W253B,W96W,W278B,D28B,D6W,D259B,W266W,W258B,W29B,D3W,W20B,9,66,66,50.75,0,7,5,2980
5,20,SRB,GM,mishanick,Aleksei Sarana,3137,W378B,W327W,D313B,W64B,W256W,D2B,W42W,L10B,W40W,W15W,W13B,9,64.5,65.5,51.25,0,8,3,2886
6,5,USA,GM,LevonAronian,Levon Aronian,3107,W294W,W52B,W235W,L12B,D4B,W272W,W37B,W260W,W28B,W7W,L1W,8.5,71,73,50,0,8,3,2906
7,16,DEU,GM,Msb2,Matthias Bluebaum,3052,W94B,W65W,D27B,W313W,L269B,W139W,W34B,W44B,W12W,L6B,W30W,8.5,68,70.5,53.75,0,8,3,2847
8,19,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3089,L90W,W348B,W66W,W306B,W304W,W22B,D2W,W33B,W35B,D20W,D10W,8.5,66.5,68.5,49.75,0,7,5,2832
9,7,RUS,GM,lachesisQ,Ian Nepomniachtchi,3145,W99W,W388B,W87W,W263B,D255W,L12B,W69W,D256B,W39W,D30B,W27W,8.5,66,67,49,0,7,2,2859
10,12,IND,GM,vi_pranav,Pranav V,3035,W398B,L93W,W163B,W318W,W265B,W44W,W30B,W5W,L17B,W19W,D8B,8.5,66,66,47.75,0,8,4,2823
11,83,UZB,IM,Sattarov_Bobur,Bobur Sattarov,2793,W135W,W142B,L3W,W341B,W95W,D36W,W270B,W261B,L2W,W255W,W29B,8.5,65,67,45.5,0,8,5,2859
12,40,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2963,W74B,W308W,W23B,W6W,D16B,W9W,W261W,L1B,L7B,D35W,W50B,8,78,81,54.5,0,7,3,2977
13,4,FRA,GM,Firouzja2003,Alireza Firouzja,3155,W66B,W60W,W32B,W267W,D14B,W268W,D1B,L3W,W256B,W18W,L5W,8,76,80.5,53.25,0,7,3,2960
14,28,NLD,GM,GMBenjaminBok,Benjamin Bok,2951,W43B,W67W,W71B,W301W,D13W,L35B,W27W,D2B,W22W,L16B,W37W,8,74.5,77.5,54,0,7,2,2888
15,120,POL,FM,carokannlover213,Patryk Cieslak,2741,W188W,L2B,W229W,W55W,L30B,W94W,W62B,W42B,W261W,L5B,W39W,8,69,71,45.5,0,8,2,2782
16,8,IND,GM,GHANDEEVAM2003,Arjun Erigaisi,3074,W335B,W293W,W277B,W39B,D12W,D255B,W18W,L17W,W257B,W14W,L3B,8,68,70,45.75,0,7,4,2913
17,14,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3067,L123B,W394W,W162B,W327W,W279W,W40B,W39W,W16B,W10W,L1B,L2W,8,66,66.5,41.5,0,8,3,2882
18,25,PER,IM,MITerryble,Renato Terry,2987,W236W,W339B,W139W,L44B,W54W,W32B,L16B,W37W,W58B,L13B,W45W,8,65.5,67.5,44.5,0,8,3,2815
19,35,DEU,GM,rasmussvane,Rasmus Svane,2973,W229W,W141B,W274W,L38W,W21B,L37B,W52W,W265B,W84W,L10B,W56B,8,65,67,44.5,0,8,4,2747
20,13,USA,GM,OparinGrigoriy,Grigoriy Oparin,3007,W130W,W290B,W352W,L40B,W115W,W257W,W263B,D29W,W255B,D8B,L4W,8,63.5,65.5,41.5,0,7,3,2858
21,107,UKR,IM,Zavgorodniy_Sergiy,Sergiy Zavgorodniy,2606,D114B,D161W,W91B,W164W,L19W,W288B,D79W,W34B,D41B,W257W,W36W,8,62.5,66.5,46.75,0,6,3,2671
22,52,LTU,GM,ContrVersia,Valery Kazakouski,2851,W285B,W320W,W164W,L47B,W70W,L8W,W280B,W141W,L14B,W68B,W38W,8,61,63.5,40,0,8,3,2757
23,115,USA,WGM,Crazy_girl99,Gulrukhbegim Tokhirjonova,2604,W133B,W374W,L12W,W86B,L201B,W284W,L84B,W132W,W55B,W41W,W40W,8,59,60,42,0,8,3,2625
24,27,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3005,L112W,W175B,W367W,W345B,W51W,W277B,D258W,D38W,W32B,L2B,W44W,8,59,60,39.25,0,7,4,2822
25,178,POL,CM,Actuary44,Michał Kopczyński,2486,W233W,L113W,W354B,L50B,W348W,W115B,W111W,L32B,W139B,W110W,W42W,8,53.5,55.5,35.5,0,8,3,2654
26,192,USA,GM,GABUZYAN_CHESSMOOD,Hovhannes Gabuzyan,3103,U--,L370B,W362W,W162W,W168B,L114W,W130B,W112W,W141B,W80W,W35B,8,45,46,39.5,0,8,4,2541
