Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,8,RUS,GM,Grischuk,Alexander Grischuk,3007,W60W,L16B,W85B,W45W,W47B,W186W,W264B,D13W,W27B,W5W,W7B,9.5,73,77,65,0,9,5,2768
2,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3257,W302B,W116W,W328B,W303W,W12W,W27B,D7W,D5B,W3W,D4B,W8W,9.5,71,73,59.75,0,8,3,2890
3,14,RUS,GM,BillieKimbah,Maxim Matlakov,3042,W177W,W58B,W124W,D36B,W40W,D15B,W21W,W6W,L2B,W39W,W18B,9,76,80.5,63.5,0,8,2,2830
4,3,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3022,D29B,W382W,W356B,W16W,W10B,D65W,D8B,W110W,W15B,D2W,W12W,9,72,73,57,0,7,3,2834
5,2,FRA,GM,Firouzja2003,Alireza Firouzja,3127,W131W,W210B,W332W,W39B,W260W,W263B,W43W,D2W,D7B,L1B,W13W,9,69,71,52.5,0,8,3,2882
6,38,ESP,GM,platy3,Alan Pichot,2916,W202W,W377B,D136W,W137B,D26B,W79W,W38W,L3B,W44W,W15W,W257B,9,67,68,52.5,0,8,3,2776
7,24,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2904,W312W,W94B,W314W,W21B,W81W,W264B,D2B,W65W,D5W,D13B,L1W,8.5,70.5,73.5,50.75,0,7,3,2837
8,31,USA,GM,Zkid,Steven Zierk,2848,L268B,W141W,W90B,W339B,W142W,W81B,D4W,W32B,W9W,W11W,L2B,8.5,70,72,53,0,8,4,2750
9,17,USA,IM,0gZPanda,,2932,W130B,W48W,W56B,W300W,L65B,W41W,D71B,W261W,L8B,W37W,W14B,8.5,68,71,52.75,0,8,3,2752
10,36,RUS,GM,alexrustemov,Alexander Rustemov,2882,D146W,W344B,W29W,W273B,L4W,L49W,W89B,W136B,W32W,W53B,W31W,8.5,66,68,49.5,0,8,5,2611
11,52,HRV,GM,Elsa167,Leon Livaic,2887,W135W,W86B,W132B,L13W,D16B,W210W,W116B,W262W,W258W,L8B,W30W,8.5,65.5,69,48.5,0,8,3,2733
12,26,IND,GM,Vaathi_Coming,Aravindh Chithambaram,2867,W274W,W66B,W55W,W51W,L2B,L71W,W17B,W47W,W22B,W36W,L4B,8,75.5,80,55,0,8,3,2773
13,18,RUS,GM,kuli4ik,Mikhail Demidov,2917,W57W,W281B,W78W,W11B,L264W,W51B,W42W,D1B,W65W,D7W,L5B,8,74,78,55,0,7,3,2795
14,34,BIH,IM,mbojan,Bojan Maksimović,2851,W76W,W46B,W105W,L79W,W305B,W78B,L15W,W20B,W21B,W41W,L9W,8,71,74,51.5,0,8,5,2714
15,5,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3054,W308B,W365W,W44B,W196W,D261B,D3W,W14B,W259W,L4W,L6B,W34W,8,68,69,43.75,0,7,3,2844
16,127,KGZ,IM,Semetey,Semetey Tologontegin,2601,W427B,W1W,W322B,L4B,D11W,L36B,D115W,W129B,W267W,W80W,W65B,8,64.5,64.5,41.5,0,7,4,2745
17,130,ESP,IM,Rutricks,Rubén Domingo Núñez,2673,W179W,L257B,W175W,W214B,L22B,W183W,L12W,W60B,W89W,W42B,W37B,8,63.5,66.5,42.5,0,8,4,2616
18,49,POL,GM,krzyzan94,Marcin Krzyżanowski,2809,W341B,W187W,W148B,L259W,W314B,L48B,W69W,W63B,W28W,W43B,L3W,8,62,64,42,0,8,5,2709
19,32,CAN,GM,hansen,Eric Hansen,2873,L129W,W149B,W131W,W101B,L78W,W100B,W45W,W67W,L41B,W81B,W47W,8,61.5,66.5,48.5,0,8,4,2593
20,95,POL,GM,Harry_Rakkel,Krzysztof Jakubowski,2646,W189B,W145W,L259B,W335W,L110W,W85B,W90W,L14W,W96B,W64W,W39B,8,61,63,43,0,8,4,2639
21,57,INT,FM,BlackBoarder,Vasily Volovich,2722,W383B,W366W,W315B,L7W,W266B,W97W,L3B,W94B,L14W,W63B,W38B,8,60.5,61.5,36,0,8,6,2680
22,55,RUS,FM,Witik,Vjacheslav Weetik,2716,W284B,W194W,U--,W309B,W17W,W278B,L257W,W23B,L12W,W55W,W59B,8,58,61,45,0,8,5,2660
23,108,TUR,FM,ozates,Tuna Özateş,2564,L145W,W117B,W204W,W135B,L269B,W308W,W87B,L22W,W92B,W44B,W36W,8,57.5,60.5,43,0,8,5,2575
24,89,RUS,IM,Korchmar_Vasiliy,Vasiliy Korchmar,2673,W113B,W73W,L262B,W342W,D288W,D28B,L268W,W194B,W101W,W68W,W43B,8,57.5,59.5,43.5,0,7,3,2685
25,87,IRN,FM,Ali_rastbod,Ali Rastbod,2665,W161B,L180W,W271B,W302W,L258W,W129B,W131B,L260W,W84W,W62B,W52W,8,56,59,42.5,0,8,5,2605
26,10,USA,GM,jefferyx,Jeffery Xiong,3035,W374W,W367B,D287W,W321B,D6W,L265B,W126W,L42B,W82W,W78B,W41W,8,52.5,53.5,35.25,0,7,3,2661
27,25,LTU,GM,ContrVersia,Valery Kazakouski,2934,W104B,W69W,W306B,W37W,W79B,L2W,W67B,D257B,L1W,L31W,W72B,7.5,73,76,45.5,0,7,5,2764
28,9,USA,GM,TigrVShlyape,Gata Kamsky,2865,W54B,W279W,D41B,L289W,W220B,D24W,W273B,W50W,L18B,W29B,D35W,7.5,64,67,44.25,0,6,4,2644
29,193,HUN,FM,Kombinator01,Dávid Haszon De,2451,D4W,W319B,L10B,L52W,W345B,W293W,W40W,W272B,W33B,L28W,W75B,7.5,64,66,38.5,0,7,5,2716
30,22,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2900,L273W,D121B,W228B,W53W,D46B,W309W,W266B,D31W,W55B,W49W,L11B,7.5,62,64.5,41.5,0,6,3,2598
31,84,TKM,GM,gahryman,,2653,L132W,W189B,W378W,W93B,L257W,W194W,W134B,D30B,W97W,W27B,L10B,7.5,61.5,62.5,37.25,0,7,4,2636
32,100,RUS,FM,Vsevolod_Ovchinnikov,Vsevolod Ovchinnikov,2620,W117W,L333B,W108W,D320B,W133W,W40B,W269B,L8W,L10B,W95W,W70W,7.5,60,62,41.75,0,7,2,2609
33,56,UKR,GM,Rybka1989,Petro Golubka,2758,W87W,D119B,L273W,W120W,W123B,W288B,W274W,L258B,L29W,W54B,W66W,7.5,59,62.5,41.25,0,7,3,2596
34,50,BRA,GM,GMKrikor,Krikor Sevag Mekhitarian,2861,W267W,L330B,W374W,D46B,W119W,L273B,W93W,W123B,W61B,W258W,L15B,7.5,57,58,40,0,7,2,2614
35,68,GRC,FM,AlexPapasimakopoulos,Alexandros Papasimakopoulos,2707,L310W,W349B,D130W,D344B,L54W,W319W,W312B,W282B,W88W,W48B,D28B,7.5,47.5,49.5,32.25,0,6,4,2533
