Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,5,SRB,GM,mishanick,Aleksei Sarana,3137,W137B,W117W,W30B,W19W,W20B,W370W,D38B,W5W,W12B,W18W,D7W,10,78,83,74.75,0,9,4,2920
2,24,UZB,GM,Shield12,Shamsiddin Vokhidov,2991,W199W,W376B,W53W,W90B,W56W,L5W,D37B,W43W,W112W,W35B,W10W,9.5,72,77,64.25,0,9,3,2822
3,13,VNM,GM,wonderfultime,Tuan Minh Le,3049,W492B,W60W,W65B,D367W,D42B,D40B,W383W,W37W,W361B,W12W,W13W,9.5,70,71.5,61.25,0,8,3,2782
4,2,IND,GM,viditchess,Vidit Gujrathi,3105,W170W,W162B,W21W,D10B,L368W,W387B,W40W,W114B,D13B,W22W,W31B,9,71,75.5,61.5,0,8,4,2799
5,8,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3005,W537W,W416B,W385W,W420B,W359W,W2B,W17W,L1B,W20W,L7B,W26W,9,69.5,69.5,50.5,0,9,3,2905
6,9,RUS,GM,dropstoneDP,David Paravyan,3068,L184B,W585W,W99B,W97W,W121B,D39W,D48B,W62W,W73B,W19W,W23B,9,69,69,56.5,0,8,4,2704
7,1,USA,GM,Hikaru,Hikaru Nakamura,3303,W148B,D486W,W475B,W132W,L10W,W179B,W52W,W163B,W22B,W5W,D1B,9,67.5,69,54.75,0,8,5,2793
8,58,IND,IM,the_chess_child,Ilamparthi A R,2931,W236W,W164B,L59W,W465B,W85W,L363W,W138B,W75W,W57W,W58B,W18B,9,65,67,54,0,9,5,2683
9,21,NLD,GM,GMBenjaminBok,Benjamin Bok,2951,W274B,W464W,L56B,L397W,W445B,W300W,W64W,W41B,W65W,W21W,W24B,9,58,60,49,0,9,4,2691
10,52,UKR,GM,Cayse,Martyn Kravtsiv,2858,W327W,W496B,W27W,D4W,W7B,L51B,W69W,W94B,W358W,W15W,L2B,8.5,72.5,73.5,52.5,0,8,3,2839
11,34,USA,GM,BlueWizzard,Denes Boros,2878,W161W,W160B,L54W,W164B,W93W,W66B,W363W,D15B,L35B,W49W,W45B,8.5,68.5,74,55.25,0,8,4,2723
12,28,IRN,FM,artin10862,Artin Ashraf,2838,W102W,D475B,W190W,W440B,W367W,W368B,W54B,W38W,L1W,L3B,W48W,8.5,66.5,68.5,48,0,8,3,2799
13,49,RUS,GM,TimofeevAr,Artem Timofeev,2848,W94B,W397W,W471B,W184W,W396B,L18W,W370B,W26B,D4W,W38W,L3B,8.5,66.5,68.5,46.5,0,8,5,2867
14,37,POL,NM,MightyGMpretender,Antonio Kozak,2876,W424B,W142W,W405B,L57W,W140B,W70W,D88W,L36B,W76B,W54W,W35W,8.5,65.5,68.5,50.75,0,8,4,2682
15,17,USA,GM,TigrVShlyape,Gata Kamsky,2934,W322B,L471W,W513B,W470B,W91W,W21W,W19B,D11W,W36W,L10B,W39W,8.5,60.5,61.5,46.75,0,8,4,2709
16,64,NLD,IM,chesskov1982,,2908,W171W,W454B,D300W,L36B,W410W,L69B,W380W,W387B,W369W,W88B,W38B,8.5,55.5,57.5,41.5,0,8,4,2623
17,19,TUR,GM,SantoBlue,Vahap Sanal,2913,W86B,W69W,W87B,W414W,W185B,W52W,L5B,L22W,L21B,W36W,W78B,8,72.5,75.5,50.5,0,8,4,2737
18,14,DEU,GM,rasmussvane,Rasmus Svane,2973,W513W,W74B,W55W,W366B,D163W,W13B,W114W,D358B,W51W,L1B,L8W,8,72.5,73.5,48.5,0,7,3,2823
19,59,IDN,IM,yosephtaher,Yoseph Theolifus Taher,2926,W120B,W150W,W372B,L1B,W72W,W116B,L15W,W374B,W60W,L6B,W53W,8,71.5,76.5,49,0,8,4,2760
20,44,RUS,FM,JimDiGrease,Ivan Zemlyanskii,2947,W303W,W157B,W95W,W417B,L1W,W55B,W46B,W58W,L5B,L24B,W70W,8,71,74,47,0,8,4,2799
21,99,CAN,GM,attack2mateU,Razvan Preotu,2731,W229B,W404W,L4B,W472W,W118W,L15B,W83B,W66W,W17W,L9B,W79W,8,70,72,45.5,0,8,2,2743
22,39,USA,GM,MikaelyanArman,Arman Mikaelyan,2828,W534B,L372W,W47B,W213W,W429B,W62W,W57B,W17B,L7W,L4B,W84W,8,67.5,68,45,0,8,5,2762
23,35,BRA,GM,GMKrikor,Krikor Sevag Mekhitarian,2808,W403B,W401W,W64B,D54B,L51W,W117W,D60B,W56W,W363B,W53W,L6W,8,67,71,48,0,7,3,2705
24,3,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3090,W285B,L95W,W100B,W92W,L374B,W119W,W121B,W70W,W88B,W20W,L9W,8,67,70.5,50,0,8,4,2667
25,61,UKR,IM,Mops_2004,Dmitriy Kushko,2743,W225B,W477W,L52B,W197W,W154B,L57W,W130B,W27B,W59W,L31B,W55W,8,66,68,46,0,8,4,2636
26,23,CHL,GM,K_A_S_T_O_R,Rodrigo Vasquez,2911,W490B,W45W,L141B,W146W,W416B,W385W,W53B,L13W,W116W,W51B,L5B,8,64.5,66,42.5,0,8,4,2729
27,153,IND,CM,wqws,kaivalya nagare,2605,W561W,W289B,L10B,W188W,L364W,W193B,W44B,L25W,W186B,W365B,W89W,8,60.5,60.5,38,0,8,5,2686
28,62,BRA,IM,RobertoJBM,Roberto Junio Brito Molina,2820,L189W,W317B,W199W,W131B,W372W,L88B,L74W,W266B,W72W,W75B,W71W,8,59.5,61.5,43,0,8,4,2588
29,30,COG,GM,LionTheLeon_06,Leon Luke Mendonca,2900,L433W,W298B,W478W,L118B,W208W,W155B,W91W,L53W,W46B,W56W,W65B,8,58,60,44,0,8,4,2593
30,113,RUS,GM,Kobalia,Mikhail Kobalia,2810,W237W,W472B,L1W,W463B,D107W,L384B,W177W,W230B,D114W,W52B,W58W,8,57.5,59.5,38.75,0,7,4,2661
31,2,SVN,GM,Anton_Demchenko,Anton Demchenko,2891,U--,W255B,L139W,W325B,W137W,W164W,W152B,W55W,W362B,W25W,L4W,8,57.5,59,44,0,8,4,2661
32,70,KGZ,FM,Brave_spirit12,Eldiar Orozbaev,2773,L119W,W577B,L161W,W512B,W194W,W131B,W97W,L57B,W157W,W85B,W60W,8,57,57,38.5,0,8,4,2558
33,2,TUR,IM,denizozen,Deniz Ozen,2928,U--,W560W,W168B,W260W,W130B,D383W,W369B,L35W,W101B,D43B,W51W,8,54,54,40.5,0,7,4,2663
34,60,UZB,IM,AlmasRakhmatullaev,Almas Rakhmatullaev,2926,W206W,W145B,L417W,U--,W200B,W260W,W128W,L116B,W74W,W127B,W62W,8,52,55,46,0,8,3,2610
35,10,IND,GM,vi_pranav,Pranav V,3035,W100W,W93B,W50W,L185B,W71W,W42W,D51B,W33B,W11W,L2W,L14B,7.5,76.5,81.5,55,0,7,2,2777
36,246,ARG,FM,Alphafischer2019,Francisco Fiorito,2676,W254W,W49W,D37B,W16W,W371B,L114B,W39W,W14W,L15B,L17B,W90W,7.5,73.5,77.5,51.25,0,7,1,2830
37,69,UKR,FM,PeshkaCh,Tykhon Cherniaiev,2848,W80B,W165W,D36W,W235B,D89B,W185W,D2W,L3B,D52W,W116B,D43W,7.5,71,75.5,47,0,5,3,2729
38,36,AUS,GM,Illingworth,Max Illingworth,2897,W192W,W216B,W421W,W362B,W400W,W361B,D1W,L12B,W54W,L13B,L16W,7.5,69,72,41.5,0,7,3,2801
39,66,SWE,IM,Seochesspie,Seo Jungmin,2862,W263W,L52B,W516W,W103B,W59W,D6B,L36B,W162W,W94W,W89B,L15B,7.5,68,69,41.5,0,7,2,2698
