Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
32,15,PNG,GM,ChristopherYoo,Christopher Woojin Yoo,2966,W147B,W332W,L274B,W70W,W87B,L279W,W90B,D19W,W60B,W35B,L11W,7.5,65.5,68.5,45,0,7,5,2681
33,97,RUS,FM,Vsevolod_Ovchinnikov,Vsevolod Ovchinnikov,2628,L82B,W156W,L329B,W151W,D80B,W344W,W63W,W31B,W278W,L8B,W77W,7.5,59.5,62,41.5,0,7,1,2583
34,98,PRK,FM,DefiantChair,,2631,W237W,W138B,L270B,L63W,W137B,D202W,W113B,W179W,L29W,W80B,W62W,7.5,57,59,36.25,0,7,4,2582
35,57,INT,GM,Aygehovit1992,Nikita Matinian,2747,W83B,D67W,L301B,W378W,W117W,L65B,W202W,W295B,W72B,L32W,W75B,7.5,57,58.5,37.25,0,7,4,2603
36,141,ESP,FM,Pingah9,,2609,W429B,D7W,L282W,L133B,W172B,W345W,W69W,W299B,L272B,W126W,W64W,7.5,55,55,34.25,0,7,3,2666
37,2,FRA,IM,mouniouboun,guillaume philippe,2611,U--,W365W,W188W,L309B,W185B,W334W,W302B,W284W,D13W,W29B,L8W,7.5,48.5,50.5,33.75,0,7,3,2670
38,42,AZE,GM,GadimbayliA,Abdulla Gadimbayli,2836,W315W,W46B,W88W,L273B,W53W,W47B,W17B,L2W,L6B,W50W,L24B,7,74.5,78.5,46,0,7,3,2745
39,65,RUS,FM,Fantastic_Power,Kirill Bazyrtsyrenov,2753,W183B,W348W,L1W,W99B,W308W,W16W,L2B,W46W,L17B,W60W,L18B,7,71.5,73.5,38,0,7,2,2793
40,12,RUS,IM,Rud_Makarian,Rudik Makarian,2969,W122W,W75B,L299W,W332B,W43W,W62B,W11W,L12B,W104W,L23B,L26W,7,69,72,43,0,7,3,2754
41,77,INT,GM,oskariot,Oskar Wieczorek,2677,W413B,W63W,L3W,W240B,W138B,W23W,L271B,W79W,L270B,L59W,W89B,7,63.5,63.5,33.5,0,7,4,2697
