Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,14,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3101,W244B,W339W,L43B,W234W,W45B,W12W,W39B,W259W,W10W,W15B,D5B,9.5,65,66,54.5,0,9,4,2850
2,1,USA,GM,Hikaru,Hikaru Nakamura,3303,W167W,W89B,W260W,W29B,W40W,W266B,W14W,D6B,L15W,D3B,W8W,9,74.5,79,62,0,8,3,2957
3,21,PNG,GM,ChristopherYoo,Christopher Woojin Yoo,2979,W98W,W136B,W54W,W281B,L14W,W260W,W275B,W9W,D8B,D2W,W15B,9,71,75.5,58.75,0,8,4,2911
4,7,TZA,GM,nihalsarin,Nihal Sarin,3179,W96W,W59B,W47W,W27B,L266W,W24W,L259B,W42W,W41B,W28W,W14B,9,70.5,76,64.5,0,9,4,2851
5,6,DEU,GM,Msb2,Matthias Bluebaum,3052,W81B,W297W,W64B,L14W,W46B,W274W,D262W,W263B,W26W,W6B,D1W,9,69.5,73.5,58,0,8,5,2885
6,8,USA,GM,FabianoCaruana,Fabiano Caruana,3052,W276B,W293W,W338B,W39W,W262W,D26B,W265W,D2W,W7B,L5W,W16B,9,69.5,71.5,54.25,0,8,4,2944
7,17,KOR,GM,sergoy,Sergey Drygalov,3005,W142W,W315B,W286W,W295B,L26W,W290B,W41W,W14B,L6W,W17B,W19W,9,65,68,51.5,0,9,5,2864
8,11,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3005,W291W,W316B,W278W,W272B,W16W,L14B,W27W,W22B,D3W,W13B,L2B,8.5,72,75,53.5,0,8,4,2906
9,10,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3090,W123B,W373W,L49B,W120W,W318W,W20B,W16W,L3B,W261B,D10W,W29B,8.5,68,69,48.75,0,8,4,2816
10,27,AZE,GM,vugarrasulov,Vugar Rasulov,2948,W204W,W233B,D306W,W58B,W271W,W48W,D22B,W32W,L1B,D9B,W31W,8.5,66.5,68.5,49,0,7,2,2893
11,15,RUS,GM,Grischuk,Alexander Grischuk,3092,W155W,W313B,D170W,W69W,L17B,W307W,W36B,W267W,L28B,W33B,W27W,8.5,62.5,65.5,47.75,0,8,3,2792
12,52,KAZ,IM,Arystanner,Arystanbek Urazayev,2930,W176B,L86W,W197B,W87B,W315W,L1B,W293W,D51W,W35B,W30W,W38W,8.5,62.5,65.5,46.5,0,8,4,2661
13,63,USA,GM,KaydenTroffChess,Kayden Troff,2846,W117W,L289B,D330W,W137B,W92W,W306B,W29W,W262B,W258W,L8W,W26B,8.5,59.5,62,48.25,0,8,4,2754
14,36,KAZ,GM,Denis_Makhnyov,Denis Makhnev,2992,W400B,W287W,W107W,W5B,W3B,W8W,L2B,L7W,W80B,W22W,L4W,8,77.5,77.5,50.5,0,8,4,2926
15,2,FRA,GM,Firouzja2003,Alireza Firouzja,3155,W329B,W80W,L42B,W44B,W109W,W263B,W40W,W26W,W2B,L1W,L3W,8,73,75.5,50,0,8,4,2896
16,30,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2872,W121B,W113W,W337W,W43B,L8B,W283W,L9B,W49W,W45W,W48B,L6W,8,69.5,71.5,45.5,0,8,3,2824
17,34,RUS,GM,kuli4ik,Mikhail Demidov,2896,W346B,D44W,W66B,W306W,W11W,L258B,W63W,W265B,D21B,L7W,W55W,8,68,70,47,0,7,3,2816
18,13,SRB,GM,mishanick,Aleksei Sarana,3137,W409W,W57B,L30W,W279B,W43W,L264B,W61W,W52W,L19B,W45W,W39B,8,67,67,46,0,8,3,2744
