Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

33,3,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3011,W313B,W48W,L353B,W57W,D109B,W181W,L51B,D356W,W62B,W68W,D22B,7.5,45
33,234,RUS,IM,Vesper2018,Anastasia Bodnaruk,2580,W295B,L87B,W261W,W72B,L108W,W66W,W65B,L74B,W77W,D61B,W88W,7.5,45
35,56,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2901,W480B,W90W,D382B,W84W,W366B,W11B,W343W,D19B,L39W,D9W,L10B,7.5,43.5
35,37,IND,GM,GMSrinath,Srinath Narayanan,2888,W407B,W112W,W79B,W146W,D82W,L19B,D71W,D149B,W348W,W343B,L9B,7.5,43.5
37,51,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2944,L322W,W440B,W156W,W211B,W358W,D28B,W93W,W23W,L11B,L44B,W84W,7.5,42.5
38,35,USA,GM,TigrVShlyape,Gata Kamsky,2970,D157B,W138W,W198B,W412W,L54B,W151W,W50B,L59W,W105B,L22W,W106B,7.5,42.25
39,5,USA,GM,DanielNaroditsky,Daniel Naroditsky,3134,W458B,D93W,W389B,W122W,W360B,D342W,D15B,W24W,W35B,L2W,L6B,7.5,42
40,75,RUS,IM,Kopylov_Alex,Alexander Kopylov,2928,W135W,L404B,W279W,W401B,L181W,W190B,W102W,W75B,L5W,W80B,D46W,7.5,41.75
41,104,POL,GM,Byniolus,Zbigniew Pakleza,2779,W283W,W178B,L9W,W49W,D85B,W270W,L341B,L173W,W160B,W86W,W92B,7.5,40.75
42,21,USA,GM,OparinGrigoriy,Grigoriy Oparin,2986,W200B,L366W,W457B,W388W,W61B,D108W,D54B,W97W,L20B,D48B,W93W,7.5,40.25
42,47,RUS,CM,stollenmonster,Egor Baskakov,2849,W373W,L57B,L365W,D201W,D91B,W205B,W166W,W232W,D60B,W149W,W97B,7.5,40.25
44,33,DEU,GM,rasmussvane,Rasmus Svane,2966,W177B,W371W,W307B,W110W,L17B,D360W,W96B,L51W,W88B,W37W,L12B,7.5,39.75
45,66,ARM,GM,Sam_ChessMood,Samvel Ter-Sahakyan,2846,W176B,W169W,W404B,W367B,W344W,L8B,L14W,W358W,L17B,D97W,W101B,7.5,38.75
46,148,HUN,IM,CSB7,Balázs Csonka,2729,L402B,W408W,W480B,W372W,L354B,W214W,L5W,W124B,W82W,W53B,D40B,7.5,36.25
47,80,ROU,IM,jacky72,Mihnea Costachi,2882,W204B,W475W,L268B,L95W,D156B,W121B,W380W,W168B,L85W,W165B,W102W,7.5,35.75
48,135,GEO,FM,BabyAnton,,2663,W511B,L33B,W212W,L124W,W207B,W379W,W202W,W355B,L13B,D42W,W83B,7.5,33.75
48,239,AZE,,IMAghasiyevKamal,Kamal Aghasiyev,2587,L17B,W445W,W481W,L41B,W265W,W397W,W30B,L58B,W128W,D106W,W87B,7.5,33.75
50,105,CAN,GM,attack2mateU,Razvan Preotu,2728,W504B,W470W,L10B,D160W,W139B,W232B,L38W,W365B,L31W,W95B,W85W,7.5,32.25
51,69,IND,NM,SilviusTiberius,Silvius Tiberius,2907,W209W,D126B,W120B,W100W,L16B,W89B,W33W,W44B,D10W,L13W,L32B,7,46.25
52,78,ESP,GM,Miguelito,Miguel Santos Ruiz,2751,L178B,W92W,L435B,L182B,W229W,W163B,W107W,W73B,W90W,W57B,L28W,7,43.5
53,87,TUR,FM,DonkyDonkyDonkey,Eray Kilic,2775,W111W,W137B,L16B,W132W,W124B,L3W,L345B,W126B,W78W,L46W,W148B,7,43
54,74,RUS,IM,MatthewG-p4p,Matvey Galchenko,2895,W155B,D238W,W86B,W93W,W38W,L18B,D42W,L27W,W357B,W127W,L30W,7,42.75
55,24,USA,GM,Sebastian,Leinier Dominguez Perez,2932,W147W,D64B,W380W,W88B,L359W,W84B,L22W,L151B,W143W,W105W,D61B,7,42
56,57,SRB,GM,Beca95,Aleksandar Indjic,2969,D385W,L361B,W153W,W119B,W111W,W105B,L62W,W89W,W149B,L31B,D60W,7,41.25
57,185,IRN,FM,atbenina64,Abtin Atakhan,2746,W220W,W43W,L26B,L33B,W134W,W116B,W170B,W352W,L342B,L52W,W113W,7,40.5
58,91,RUS,GM,GM_Crest,Sergey Shipov,2726,W202B,W117W,L11W,W216B,L2W,W99B,W238B,W49W,L6B,L32W,W112W,7,39.5
59,173,IND,IM,Legendinunknown,Harshavardhan GB,2886,U--,D504W,W276W,W138B,W362W,W85W,W83B,W38B,D25W,L15W,U--,7,38.75
60,151,USA,IM,Coachpoker,,2781,W372W,L11B,W192W,L115B,W351W,W140B,L6B,W193W,D43W,W170B,D56B,7,38.25
61,109,COL,GM,TheBigBoss04,Jose Gabriel Cardoso,2797,W115B,W242W,L25B,W162W,L42W,W401B,W132W,L29B,W114B,D34W,D55W,7,37.75
62,160,UZB,IM,nikitakhoroshev,Nikita Khoroshev,2645,L443B,W248W,W178W,W253B,W395B,D12W,W56B,L15W,L33W,D70B,W111W,7,36.75
63,110,ROU,IM,Dinamo81,,2712,W263W,W154B,L13B,W381W,L367W,W406B,W73W,L5B,W139W,W81B,L23W,7,36
63,162,ARG,GM,olksuna,Leandro Krysa,2641,W421B,D55W,D31W,W202B,L4W,W124B,W253B,W354W,L21B,W110W,L26W,7,36
65,117,IND,FM,Aradhya2000,Aradhya Garg,2758,W248B,W251W,L12B,D365W,D86B,W147W,L34W,W187B,W181W,W115B,L24W,7,35.5
66,113,UZB,FM,AlmasChampion1,Almas Rakhmatullaev,2914,W408B,W402W,L376B,D152W,D123W,L34B,W346W,L137B,W210W,W133B,W126W,7,34.75
67,150,LKA,FM,Ranindu2003,Ranindu Dilshan Liyanage,2704,W237B,L16W,W136W,W429B,L24W,L373W,L193B,W155W,W203B,W200W,W121B,7,34
68,136,USA,IM,GothamChess,Levy Rozman,2763,W175W,L268W,W312B,W214B,L28W,W364B,W215W,L6W,W137B,L33B,W132W,7,33.5
69,147,RUS,FM,GoltsevDmitry2000,Goltsev Dmitry,2737,W495W,L82B,W373W,L111B,W177W,W136B,W372B,L342W,W131W,L71B,W145W,7,32
70,67,RUS,GM,Kobalia,Mikhail Kobalia,2699,W416W,W211B,L357W,U--,W255B,L345W,W407B,D95B,W232W,D62W,W120B,7,31.75
71,90,CHN,GM,daika91,Zhongyi Tan,2717,W429W,D270B,W309W,W161B,L21W,W380W,D36B,W115W,L7B,W69W,L29B,7,31.5
72,99,BRA,GM,GMKrikor,Krikor Sevag Mekhitarian,2783,W419B,W322W,L377B,L34W,L379B,W208B,W195W,W194B,W123B,W345W,L21B,7,30.5
73,207,ARG,FM,Alphafischer2019,Francisco Fiorito,2566,L431W,W174B,L372W,W328W,W262B,W398W,L63B,L52W,W374B,W143W,W127B,7,29.5
73,84,USA,FM,LiamPutnam2008,Liam Putnam,2802,W329B,W462W,L8B,W426W,L185W,W123B,W90B,W34W,W344B,L25B,L27W,7,29.5
75,233,GRC,FM,N18player,Nikolas Koutlas,2476,W316W,L109W,W499B,W396W,W170B,W354W,L7B,L40W,L106B,W130W,W128B,7,28.5
75,128,RUS,IM,Korchmar_Vasiliy,Vasiliy Korchmar,2712,L430W,W263B,L215W,L437B,W492W,L130B,W444B,W197W,W195B,W172W,W346B,7,28.5
77,122,IND,GM,obliviate12,Vaibhav Suri,2709,W515W,W281B,L342B,W407W,L10B,W187W,W181B,L344W,L34B,W137W,W139B,7,28
77,178,ESP,IM,Alomaterapia,Robert Aloma,2577,W523B,L25W,W470B,L18B,W192W,L202B,W233W,W104W,L53B,W193W,W118B,7,28
