Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,2,FRA,GM,LyonBeast,Maxime Vachier-Lagrave,3118,W238W,W74B,W219W,D382B,W10W,W57B,W378W,W11B,W7W,D9B,D2W,9.5,74.5,79,67.25,0,8,3,2926
2,41,ESP,GM,iturrizaga,Eduardo Iturrizaga,3006,W351B,W107W,W411B,W123W,W388W,W37B,L11B,W378W,W5B,W15W,D1B,9.5,70.5,72.5,59.25,0,9,4,2907
3,31,IDN,GM,garcho08,Susanto Megaranto,2944,W164B,W325W,D59B,W225W,W396W,W12B,D4W,W117W,D36B,W10W,W9B,9.5,70,73,61.25,0,8,3,2836
4,16,RUS,GM,VladimirKramnik,Vladimir Kramnik,2954,W188W,D161B,W85W,W81W,W312B,W398W,D3B,W43W,L16B,W27W,W31B,9,71,74.5,58.5,0,8,2,2819
5,26,PER,IM,MITerryble,Renato Terry,2921,W249W,W274B,W116W,W436B,L11B,W125W,W89W,W14B,L2W,W72W,W35B,9,68.5,71.5,53.5,0,9,4,2763
6,21,SRB,GM,Beca95,Aleksandar Indjic,2984,W449B,D195W,W379W,D88B,W197W,L14B,W66W,W387B,W34W,W55W,W33B,9,66,69,54.75,0,8,3,2732
7,11,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3099,W314B,L432W,W248B,W195W,W25B,W406W,W217W,W33B,L1B,W23W,W11W,9,63.5,66.5,54,0,9,4,2806
8,12,NLD,GM,GroovyKettle,Robby Kevlishvili,2902,W415W,L127B,W455W,W207B,W29W,W405B,L10W,W125B,W120W,W376B,W16W,9,63,66,51.5,0,9,4,2734
9,3,USA,GM,GMWSO,Wesley So,3057,W148B,W46W,L64B,W392B,W53W,W90B,W17W,W36W,W19B,D1W,L3W,8.5,77.5,82.5,61.25,0,8,4,2856
10,64,UKR,GM,Cayse,Martyn Kravtsiv,2886,W320W,W147B,W56B,W404W,L1B,W133W,W8B,D37B,W17W,L3B,W36W,8.5,74.5,77.5,54.75,0,8,3,2884
11,4,RUS,GM,Duhless,Daniil Dubov,3018,W115W,W502B,W458W,W376B,W5W,W386B,W2W,L1W,W13B,D16W,L7B,8.5,74.5,75.5,52.75,0,8,4,2921
12,65,PER,GM,emiliocordova,Emilio Cordova,2847,W199B,W136W,W73W,D15B,W22B,L3W,W264B,W383B,W92W,D36W,D19B,8.5,72,76.5,54.75,0,7,4,2841
